====== He (10) into UO2                         =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 4200 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 10000.E+01 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100001.E-02  3393.75E-02  1762.70E-06
200001.E-02  3405.18E-02  7407.28E-06
300001.E-02  3417.80E-02  5537.39E-06
400001.E-02  3437.91E-02  1462.65E-05
500001.E-02  3455.43E-02  1921.89E-05
600001.E-02  3469.50E-02  8712.33E-06
700001.E-02  3486.46E-02  1276.43E-05
800001.E-02  3501.67E-02  1103.33E-05
900001.E-02  3526.23E-02  8525.95E-06
100000.E-01  3541.15E-02  1093.72E-05
110000.E-01  3557.80E-02  5413.47E-06
120000.E-01  3571.97E-02  1182.48E-05
130000.E-01  3595.54E-02  5951.39E-06
140000.E-01  3617.99E-02  5337.11E-06
150000.E-01  3635.04E-02  5669.17E-06
160000.E-01  3649.64E-02  9433.32E-06
170000.E-01  3669.30E-02  7481.97E-06
180000.E-01  3688.96E-02  6156.20E-06
190000.E-01  3706.74E-02  1509.87E-05
200000.E-01  3730.15E-02  7666.69E-06
210000.E-01  3748.81E-02  7537.59E-06
220000.E-01  3769.14E-02  8487.22E-06
230000.E-01  3791.69E-02  7213.97E-06
240000.E-01  3814.13E-02  8207.19E-06
250000.E-01  3833.40E-02  6210.12E-06
260000.E-01  3866.18E-02  8716.39E-06
270000.E-01  3889.23E-02  6097.15E-06
280000.E-01  3915.60E-02  7107.19E-06
290000.E-01  3931.97E-02  1110.65E-05
300000.E-01  3965.53E-02  5595.80E-06
310000.E-01  3991.04E-02  1545.91E-05
320000.E-01  4025.06E-02  1029.44E-05
330000.E-01  4046.27E-02  6042.99E-06
340000.E-01  4080.47E-02  7846.69E-06
350000.E-01  4101.64E-02  1051.29E-05
360000.E-01  4132.30E-02  7717.26E-06
370000.E-01  4165.39E-02  6781.49E-06
380000.E-01  4195.46E-02  1309.95E-05
390000.E-01  4237.61E-02  7464.91E-05
400000.E-01  4270.90E-02  1511.94E-05
410000.E-01  4297.26E-02  8862.49E-06
420000.E-01  4331.75E-02  1393.96E-05
430000.E-01  4377.72E-02  1737.66E-05
440000.E-01  4418.29E-02  1297.38E-05
450000.E-01  4460.24E-02  1844.46E-05
460000.E-01  4498.35E-02  1280.64E-05
470000.E-01  4539.67E-02  1669.19E-05
480000.E-01  4570.83E-02  1695.42E-05
490000.E-01  4618.30E-02  9203.57E-06
500000.E-01  4668.78E-02  1509.76E-05
510000.E-01  4726.62E-02  1460.08E-05
520000.E-01  4763.47E-02  1582.67E-05
530000.E-01  4808.58E-02  1143.83E-05
540000.E-01  4869.50E-02  1429.79E-05
550000.E-01  4916.26E-02  1537.29E-05
560000.E-01  4987.12E-02  1396.17E-05
570000.E-01  5055.34E-02  1269.21E-05
580000.E-01  5088.90E-02  1739.76E-05
590000.E-01  5163.02E-02  2421.78E-05
600000.E-01  5241.71E-02  1842.42E-05
610000.E-01  5301.60E-02  3947.78E-05
620000.E-01  5376.04E-02  2175.85E-05
630000.E-01  5433.22E-02  1912.89E-05
640000.E-01  5523.01E-02  1702.99E-05
650000.E-01  5609.18E-02  2574.98E-05
660000.E-01  5696.84E-02  2353.02E-05
670000.E-01  5769.09E-02  1805.03E-05
680000.E-01  5850.20E-02  2525.56E-05
690000.E-01  5938.32E-02  2864.95E-05
700000.E-01  6038.35E-02  2956.96E-05
710000.E-01  6120.84E-02  2806.45E-05
720000.E-01  6198.89E-02  2578.08E-05
730000.E-01  6284.98E-02  2254.82E-05
740000.E-01  6371.20E-02  2784.31E-05
750000.E-01  6434.51E-02  2690.02E-05
760000.E-01  6504.32E-02  2637.81E-05
770000.E-01  6538.26E-02  3650.84E-05
780000.E-01  6539.65E-02  4289.82E-05
790000.E-01  6507.97E-02  4477.45E-05
800000.E-01  6409.62E-02  5586.57E-05
810000.E-01  6276.25E-02  4989.26E-05
820000.E-01  6078.91E-02  6098.08E-05
830000.E-01  5834.96E-02  7022.50E-05
840000.E-01  5525.64E-02  8619.93E-05
850000.E-01  5183.86E-02  9149.38E-05
860000.E-01  4761.81E-02  1149.59E-04
870000.E-01  4298.85E-02  1517.50E-04
880000.E-01  3805.45E-02  1798.63E-04
890000.E-01  3284.02E-02  2020.23E-04
900000.E-01  2727.78E-02  2569.46E-04
910000.E-01  2128.80E-02  2830.48E-04
920000.E-01  1488.50E-02  2714.34E-04
930000.E-01  9064.21E-03  2291.60E-04
940000.E-01  4433.07E-03  1362.94E-04
950000.E-01  1689.53E-03  6940.35E-05
960000.E-01  4985.24E-04  2464.95E-05
970000.E-01  1045.63E-04  6209.16E-06
980000.E-01  1322.96E-05  1117.19E-06
990000.E-01  1214.59E-06  1323.60E-07
100000.E+00  0000.00E+00  0000.00E+00
