====== He (10) into UO2                         =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 4200 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100001.E-02  442477.E-08  415063.E-08
200001.E-02  426703.E-08  155884.E-07
300001.E-02  430637.E-08  127847.E-07
400001.E-02  434218.E-08  174192.E-07
500001.E-02  426441.E-08  118154.E-07
600001.E-02  437421.E-08  123929.E-07
700001.E-02  437430.E-08  179870.E-07
800001.E-02  445381.E-08  215057.E-07
900001.E-02  447956.E-08  170289.E-07
100000.E-01  443085.E-08  206303.E-07
110000.E-01  443418.E-08  128700.E-07
120000.E-01  451718.E-08  225412.E-07
130000.E-01  464748.E-08  142001.E-07
140000.E-01  473566.E-08  129036.E-07
150000.E-01  465254.E-08  130931.E-07
160000.E-01  472504.E-08  186339.E-07
170000.E-01  471403.E-08  136879.E-07
180000.E-01  471933.E-08  143300.E-07
190000.E-01  479474.E-08  251631.E-07
200000.E-01  480755.E-08  172130.E-07
210000.E-01  483548.E-08  171536.E-07
220000.E-01  489497.E-08  169441.E-07
230000.E-01  496595.E-08  168075.E-07
240000.E-01  497148.E-08  182109.E-07
250000.E-01  510009.E-08  152591.E-07
260000.E-01  512856.E-08  194947.E-07
270000.E-01  519563.E-08  148198.E-07
280000.E-01  527770.E-08  165770.E-07
290000.E-01  527583.E-08  240084.E-07
300000.E-01  536744.E-08  147178.E-07
310000.E-01  529518.E-08  231541.E-07
320000.E-01  551753.E-08  227483.E-07
330000.E-01  545615.E-08  147663.E-07
340000.E-01  552218.E-08  186775.E-07
350000.E-01  570276.E-08  176617.E-07
360000.E-01  564626.E-08  182813.E-07
370000.E-01  572874.E-08  169771.E-07
380000.E-01  596328.E-08  231732.E-07
390000.E-01  597573.E-08  381990.E-07
400000.E-01  602711.E-08  234485.E-07
410000.E-01  614074.E-08  206973.E-07
420000.E-01  615629.E-08  273327.E-07
430000.E-01  620256.E-08  305729.E-07
440000.E-01  644751.E-08  224467.E-07
450000.E-01  628564.E-08  328148.E-07
460000.E-01  676755.E-08  213684.E-07
470000.E-01  660412.E-08  266687.E-07
480000.E-01  667744.E-08  325305.E-07
490000.E-01  688714.E-08  218577.E-07
500000.E-01  714519.E-08  291266.E-07
510000.E-01  699907.E-08  259858.E-07
520000.E-01  718578.E-08  306455.E-07
530000.E-01  737547.E-08  259468.E-07
540000.E-01  794041.E-08  314001.E-07
550000.E-01  773029.E-08  320594.E-07
560000.E-01  786020.E-08  286788.E-07
570000.E-01  794579.E-08  287747.E-07
580000.E-01  799465.E-08  356114.E-07
590000.E-01  825888.E-08  408089.E-07
600000.E-01  841165.E-08  376207.E-07
610000.E-01  870603.E-08  420742.E-07
620000.E-01  882107.E-08  390021.E-07
630000.E-01  903627.E-08  392375.E-07
640000.E-01  962621.E-08  385735.E-07
650000.E-01  996034.E-08  509893.E-07
660000.E-01  105067.E-07  490512.E-07
670000.E-01  105364.E-07  414840.E-07
680000.E-01  110787.E-07  436819.E-07
690000.E-01  110006.E-07  483732.E-07
700000.E-01  117700.E-07  587276.E-07
710000.E-01  128434.E-07  588872.E-07
720000.E-01  131601.E-07  534203.E-07
730000.E-01  133744.E-07  509729.E-07
740000.E-01  141513.E-07  587278.E-07
750000.E-01  150410.E-07  602682.E-07
760000.E-01  163874.E-07  631464.E-07
770000.E-01  169244.E-07  763074.E-07
780000.E-01  195639.E-07  931350.E-07
790000.E-01  215502.E-07  918787.E-07
800000.E-01  230036.E-07  106493.E-06
810000.E-01  258413.E-07  112408.E-06
820000.E-01  289856.E-07  131344.E-06
830000.E-01  331488.E-07  148792.E-06
840000.E-01  390152.E-07  187588.E-06
850000.E-01  487061.E-07  212726.E-06
860000.E-01  584263.E-07  268592.E-06
870000.E-01  737398.E-07  342127.E-06
880000.E-01  938179.E-07  406245.E-06
890000.E-01  116768.E-06  501677.E-06
900000.E-01  143525.E-06  614360.E-06
910000.E-01  164390.E-06  693645.E-06
920000.E-01  174589.E-06  689801.E-06
930000.E-01  153551.E-06  591519.E-06
940000.E-01  101292.E-06  366355.E-06
950000.E-01  521693.E-07  185473.E-06
960000.E-01  200219.E-07  682543.E-07
970000.E-01  519165.E-08  170843.E-07
980000.E-01  852891.E-09  304468.E-08
990000.E-01  117859.E-09  381263.E-09
100000.E+00  000000.E+00  000000.E+00
