.Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 4200 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     1.E+05 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 202 /Ion
 Total Target Displacements = 211 /Ion
 Total Target Replacement Collisions = 9 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         He            U            O       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
100001.E-02  2400.00E-08  4090.00E-08  6430.00E-08  
200001.E-02  7460.00E-08  1459.00E-07  2584.00E-07  
300001.E-02  6550.00E-08  1318.00E-07  1846.00E-07  
400001.E-02  7150.00E-08  1596.00E-07  2871.00E-07  
500001.E-02  6600.00E-08  1116.00E-07  1795.00E-07  
600001.E-02  6660.00E-08  1170.00E-07  1911.00E-07  
700001.E-02  6900.00E-08  1674.00E-07  2782.00E-07  
800001.E-02  7290.00E-08  1788.00E-07  3633.00E-07  
900001.E-02  6800.00E-08  1488.00E-07  2659.00E-07  
100000.E-01  6990.00E-08  1793.00E-07  3399.00E-07  
110000.E-01  7470.00E-08  1213.00E-07  1893.00E-07  
120000.E-01  7450.00E-08  1984.00E-07  3745.00E-07  
130000.E-01  7550.00E-08  1389.00E-07  2115.00E-07  
140000.E-01  7510.00E-08  1251.00E-07  1864.00E-07  
150000.E-01  7500.00E-08  1334.00E-07  1894.00E-07  
160000.E-01  7850.00E-08  1670.00E-07  3053.00E-07  
170000.E-01  7510.00E-08  1338.00E-07  2040.00E-07  
180000.E-01  7600.00E-08  1353.00E-07  2184.00E-07  
190000.E-01  8230.00E-08  2081.00E-07  4258.00E-07  
200000.E-01  7780.00E-08  1629.00E-07  2730.00E-07  
210000.E-01  8580.00E-08  1661.00E-07  2708.00E-07  
220000.E-01  8150.00E-08  1493.00E-07  2685.00E-07  
230000.E-01  8150.00E-08  1609.00E-07  2646.00E-07  
240000.E-01  7960.00E-08  1716.00E-07  2912.00E-07  
250000.E-01  8220.00E-08  1494.00E-07  2269.00E-07  
260000.E-01  9070.00E-08  1891.00E-07  3097.00E-07  
270000.E-01  8340.00E-08  1471.00E-07  2235.00E-07  
280000.E-01  8660.00E-08  1550.00E-07  2492.00E-07  
290000.E-01  9090.00E-08  2244.00E-07  3805.00E-07  
300000.E-01  8700.00E-08  1446.00E-07  2192.00E-07  
310000.E-01  8840.00E-08  2008.00E-07  3737.00E-07  
320000.E-01  8530.00E-08  2033.00E-07  3762.00E-07  
330000.E-01  8950.00E-08  1401.00E-07  2252.00E-07  
340000.E-01  9370.00E-08  1841.00E-07  2786.00E-07  
350000.E-01  8960.00E-08  1656.00E-07  2738.00E-07  
360000.E-01  8910.00E-08  1685.00E-07  2958.00E-07  
370000.E-01  9890.00E-08  1749.00E-07  2501.00E-07  
380000.E-01  1000.00E-07  2086.00E-07  3759.00E-07  
390000.E-01  9750.00E-08  3144.00E-07  6402.00E-07  
400000.E-01  1000.00E-07  2132.00E-07  3693.00E-07  
410000.E-01  9950.00E-08  1870.00E-07  3280.00E-07  
420000.E-01  1024.00E-07  2374.00E-07  4468.00E-07  
430000.E-01  1089.00E-07  2623.00E-07  5087.00E-07  
440000.E-01  1110.00E-07  2047.00E-07  3476.00E-07  
450000.E-01  1154.00E-07  2714.00E-07  5565.00E-07  
460000.E-01  1165.00E-07  2035.00E-07  3284.00E-07  
470000.E-01  1177.00E-07  2501.00E-07  4246.00E-07  
480000.E-01  1275.00E-07  3000.00E-07  5321.00E-07  
490000.E-01  1259.00E-07  2171.00E-07  3277.00E-07  
500000.E-01  1179.00E-07  2600.00E-07  4810.00E-07  
510000.E-01  1248.00E-07  2291.00E-07  4139.00E-07  
520000.E-01  1240.00E-07  2677.00E-07  4940.00E-07  
530000.E-01  1317.00E-07  2354.00E-07  4102.00E-07  
540000.E-01  1495.00E-07  2880.00E-07  4950.00E-07  
550000.E-01  1416.00E-07  2804.00E-07  5207.00E-07  
560000.E-01  1416.00E-07  2619.00E-07  4488.00E-07  
570000.E-01  1412.00E-07  2769.00E-07  4415.00E-07  
580000.E-01  1465.00E-07  3038.00E-07  5936.00E-07  
590000.E-01  1561.00E-07  3505.00E-07  6716.00E-07  
600000.E-01  1633.00E-07  3497.00E-07  6152.00E-07  
610000.E-01  1646.00E-07  3712.00E-07  6925.00E-07  
620000.E-01  1717.00E-07  3526.00E-07  6336.00E-07  
630000.E-01  1718.00E-07  3522.00E-07  6254.00E-07  
640000.E-01  1786.00E-07  3656.00E-07  6039.00E-07  
650000.E-01  1855.00E-07  4569.00E-07  8392.00E-07  
660000.E-01  2090.00E-07  4268.00E-07  8099.00E-07  
670000.E-01  2150.00E-07  3880.00E-07  6579.00E-07  
680000.E-01  2184.00E-07  4044.00E-07  6969.00E-07  
690000.E-01  2108.00E-07  4329.00E-07  7854.00E-07  
700000.E-01  2329.00E-07  5161.00E-07  9779.00E-07  
710000.E-01  2647.00E-07  5065.00E-07  9869.00E-07  
720000.E-01  2601.00E-07  4920.00E-07  8417.00E-07  
730000.E-01  2678.00E-07  4780.00E-07  8132.00E-07  
740000.E-01  2944.00E-07  5239.00E-07  9616.00E-07  
750000.E-01  2962.00E-07  5675.00E-07  9471.00E-07  
760000.E-01  3584.00E-07  5773.00E-07  1012.60E-06  
770000.E-01  3632.00E-07  6862.00E-07  1238.10E-06  
780000.E-01  4398.00E-07  8228.00E-07  1535.60E-06  
790000.E-01  5006.00E-07  8070.00E-07  1513.40E-06  
800000.E-01  5285.00E-07  9335.00E-07  1769.50E-06  
810000.E-01  6241.00E-07  1028.90E-06  1815.90E-06  
820000.E-01  7101.00E-07  1169.30E-06  2167.40E-06  
830000.E-01  8343.00E-07  1326.30E-06  2456.80E-06  
840000.E-01  1028.20E-06  1652.10E-06  3131.80E-06  
850000.E-01  1313.70E-06  1804.70E-06  3583.80E-06  
860000.E-01  1640.40E-06  2288.40E-06  4519.10E-06  
870000.E-01  2117.00E-06  2838.50E-06  5889.10E-06  
880000.E-01  2747.10E-06  3334.90E-06  6951.80E-06  
890000.E-01  3608.50E-06  4007.00E-06  8728.50E-06  
900000.E-01  4492.30E-06  4757.50E-06  1078.70E-05  
910000.E-01  5242.20E-06  5258.60E-06  1228.61E-05  
920000.E-01  5603.40E-06  4981.70E-06  1235.23E-05  
930000.E-01  4996.60E-06  3976.30E-06  1086.96E-05  
940000.E-01  3317.90E-06  2414.30E-06  6753.80E-06  
950000.E-01  1724.80E-06  1147.20E-06  3490.70E-06  
960000.E-01  6497.00E-07  4009.00E-07  1307.90E-06  
970000.E-01  1692.00E-07  9430.00E-08  3411.00E-07  
980000.E-01  2970.00E-08  1730.00E-08  5980.00E-08  
990000.E-01  4300.00E-09  1300.00E-09  8500.00E-09  
100000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
