====== He (10) into UO2                         =======
        SRIM-2008.04
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= He(4.2 MeV) ==> UO2(  12 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 4200 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 12000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Total Ions calculated =13516.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by   O       by   U       
----------   ------------  -----------  -----------  
120001.E-02  2141.61E-05  4731.78E-06  1678.24E-05  
240001.E-02  2333.71E-05  4947.48E-06  1860.38E-05  
360001.E-02  3661.86E-05  4742.21E-06  3209.78E-05  
480001.E-02  1776.86E-05  4827.24E-06  1313.95E-05  
600001.E-02  2260.07E-05  9663.21E-06  1314.30E-05  
720001.E-02  1589.31E-05  4231.75E-06  1187.98E-05  
840001.E-02  2362.76E-05  4515.76E-06  1932.12E-05  
960001.E-02  2383.15E-05  3081.51E-06  2097.29E-05  
108000.E-01  2754.01E-05  4292.49E-06  2346.52E-05  
120000.E-01  2227.62E-05  4005.15E-06  1849.75E-05  
132000.E-01  2426.90E-05  9341.76E-06  1514.48E-05  
144000.E-01  3655.04E-05  2580.98E-05  1096.11E-05  
156000.E-01  1944.61E-05  5547.91E-06  1411.70E-05  
168000.E-01  3195.49E-05  1261.14E-05  1956.58E-05  
180000.E-01  2926.27E-05  4339.08E-06  2517.20E-05  
192000.E-01  1811.37E-05  4429.96E-06  1393.48E-05  
204000.E-01  2594.83E-05  4453.06E-06  2173.33E-05  
216000.E-01  2481.11E-05  4306.92E-06  2074.36E-05  
228000.E-01  2588.59E-05  7745.64E-06  1837.20E-05  
240000.E-01  3238.73E-05  7470.24E-06  2516.01E-05  
252000.E-01  2841.77E-05  4839.34E-06  2382.86E-05  
264000.E-01  2666.18E-05  4831.91E-06  2208.05E-05  
276000.E-01  3480.37E-05  5069.16E-06  2999.87E-05  
288000.E-01  2740.51E-05  9182.46E-06  1848.01E-05  
300000.E-01  2413.54E-05  6569.02E-06  1785.18E-05  
312000.E-01  3119.53E-05  9052.14E-06  2240.58E-05  
324000.E-01  2372.13E-05  4234.36E-06  1975.25E-05  
336000.E-01  2457.84E-05  8054.74E-06  1679.37E-05  
348000.E-01  2261.69E-05  5027.56E-06  1788.27E-05  
360000.E-01  2840.37E-05  5968.57E-06  2272.18E-05  
372000.E-01  3687.44E-05  5526.12E-06  3164.46E-05  
384000.E-01  4502.20E-05  7336.71E-06  3800.66E-05  
396000.E-01  3061.16E-05  1006.88E-05  2084.38E-05  
408000.E-01  2834.25E-05  5012.81E-06  2362.31E-05  
420000.E-01  2830.70E-05  3973.91E-06  2464.66E-05  
432000.E-01  3909.24E-05  6463.95E-06  3293.40E-05  
444000.E-01  2875.26E-05  6306.96E-06  2276.71E-05  
456000.E-01  3346.05E-05  7509.48E-06  2628.84E-05  
468000.E-01  3069.53E-05  5426.55E-06  2562.44E-05  
480000.E-01  5132.14E-05  1238.60E-05  3928.78E-05  
492000.E-01  4425.42E-05  7113.54E-06  3748.06E-05  
504000.E-01  3508.36E-05  6674.72E-06  2877.35E-05  
516000.E-01  3236.22E-05  7572.16E-06  2517.18E-05  
528000.E-01  3377.90E-05  7113.47E-06  2705.93E-05  
540000.E-01  4043.97E-05  8880.02E-06  3196.39E-05  
552000.E-01  3876.12E-05  6291.18E-06  3286.10E-05  
564000.E-01  4843.59E-05  1497.08E-05  3388.18E-05  
576000.E-01  3912.38E-05  6720.99E-06  3284.16E-05  
588000.E-01  4242.75E-05  7927.38E-06  3494.37E-05  
600000.E-01  5129.82E-05  1077.47E-05  4098.89E-05  
612000.E-01  5136.93E-05  1537.53E-05  3647.36E-05  
624000.E-01  5655.11E-05  1990.67E-05  3714.41E-05  
636000.E-01  5491.78E-05  8915.20E-06  4653.16E-05  
648000.E-01  6933.89E-05  2945.46E-05  4041.22E-05  
660000.E-01  7563.81E-05  2328.67E-05  5291.10E-05  
672000.E-01  6548.04E-05  2114.85E-05  4491.35E-05  
684000.E-01  5815.26E-05  1427.88E-05  4448.97E-05  
696000.E-01  7084.99E-05  1351.54E-05  5800.72E-05  
708000.E-01  8351.13E-05  2185.73E-05  6235.02E-05  
720000.E-01  7792.41E-05  1675.07E-05  6192.21E-05  
