====== He (10) into UO2                         =======
        SRIM-2008.04
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= He(4.2 MeV) ==> UO2(  12 um) ==============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 4200 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 12000.E+01 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Total Ions calculated =013516.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
120001.E-02  3397.55E-02  2010.17E-06
240001.E-02  3411.34E-02  8505.31E-06
360001.E-02  3453.64E-02  1156.87E-05
480001.E-02  3446.80E-02  9287.69E-06
600001.E-02  3470.45E-02  8000.39E-06
720001.E-02  3485.52E-02  6918.35E-06
840001.E-02  3505.80E-02  5830.89E-06
960001.E-02  3526.43E-02  8405.82E-06
108000.E-01  3547.68E-02  8807.77E-06
120000.E-01  3566.96E-02  8843.68E-06
132000.E-01  3588.99E-02  6571.22E-06
144000.E-01  3608.38E-02  4444.64E-06
156000.E-01  3637.58E-02  1516.42E-05
168000.E-01  3658.13E-02  1694.02E-05
180000.E-01  3682.31E-02  1515.18E-05
192000.E-01  3711.49E-02  1216.50E-05
204000.E-01  3741.81E-02  6054.84E-06
216000.E-01  3756.64E-02  9519.53E-06
228000.E-01  3782.23E-02  8686.19E-06
240000.E-01  3815.33E-02  1165.73E-05
252000.E-01  3850.16E-02  9440.27E-06
264000.E-01  3875.46E-02  1036.60E-05
276000.E-01  3908.28E-02  1302.27E-05
288000.E-01  3928.16E-02  1057.69E-05
300000.E-01  3960.40E-02  7791.98E-06
312000.E-01  3985.86E-02  1201.54E-05
324000.E-01  4025.71E-02  7752.15E-06
336000.E-01  4061.17E-02  8378.82E-06
348000.E-01  4090.74E-02  7070.76E-06
360000.E-01  4131.14E-02  8430.59E-06
372000.E-01  4169.23E-02  8865.45E-06
384000.E-01  4205.24E-02  1801.57E-05
396000.E-01  4241.30E-02  1015.19E-05
408000.E-01  4288.88E-02  1160.64E-05
420000.E-01  4330.98E-02  7422.00E-06
432000.E-01  4371.04E-02  1192.63E-05
444000.E-01  4419.25E-02  1126.15E-05
456000.E-01  4465.50E-02  1216.51E-05
468000.E-01  4519.64E-02  8988.89E-06
480000.E-01  4574.73E-02  1923.45E-05
492000.E-01  4625.80E-02  1623.03E-05
504000.E-01  4673.98E-02  8973.60E-06
516000.E-01  4731.58E-02  1307.54E-05
528000.E-01  4796.15E-02  9881.43E-06
540000.E-01  4874.78E-02  1393.54E-05
552000.E-01  4921.10E-02  1373.20E-05
564000.E-01  4984.79E-02  1718.96E-05
576000.E-01  5054.34E-02  1353.13E-05
588000.E-01  5132.45E-02  1149.24E-05
600000.E-01  5215.96E-02  1825.10E-05
612000.E-01  5299.55E-02  1457.94E-05
624000.E-01  5383.40E-02  1895.11E-05
636000.E-01  5485.62E-02  2459.47E-05
648000.E-01  5566.54E-02  1720.88E-05
660000.E-01  5674.03E-02  2935.59E-05
672000.E-01  5782.14E-02  3062.49E-05
684000.E-01  5884.36E-02  2627.97E-05
696000.E-01  5983.37E-02  1998.06E-05
708000.E-01  6095.38E-02  3113.02E-05
720000.E-01  6217.00E-02  2656.09E-05
732000.E-01  6322.14E-02  3067.50E-05
744000.E-01  6411.49E-02  5107.57E-05
756000.E-01  6479.02E-02  3603.94E-05
768000.E-01  6533.70E-02  3864.69E-05
780000.E-01  6519.88E-02  3696.97E-05
792000.E-01  6501.30E-02  4210.06E-05
804000.E-01  6400.28E-02  5855.34E-05
816000.E-01  6202.90E-02  6127.59E-05
828000.E-01  5946.33E-02  6330.65E-05
840000.E-01  5561.76E-02  8341.11E-05
852000.E-01  5136.90E-02  1029.26E-04
864000.E-01  4629.78E-02  1279.50E-04
876000.E-01  4060.84E-02  1536.31E-04
888000.E-01  3453.86E-02  1997.74E-04
900000.E-01  2800.18E-02  2552.52E-04
912000.E-01  2077.08E-02  2792.73E-04
924000.E-01  1304.76E-02  2601.99E-04
936000.E-01  6526.77E-03  1830.97E-04
948000.E-01  2416.51E-03  8870.35E-05
960000.E-01  5699.44E-04  2901.65E-05
972000.E-01  9446.54E-05  4949.96E-06
984000.E-01  6751.44E-06  6524.78E-07
996000.E-01  0000.00E+00  0000.00E+00
100800.E+00  0000.00E+00  0000.00E+00
102000.E+00  0000.00E+00  0000.00E+00
103200.E+00  0000.00E+00  0000.00E+00
104400.E+00  0000.00E+00  0000.00E+00
105600.E+00  0000.00E+00  0000.00E+00
106800.E+00  0000.00E+00  0000.00E+00
108000.E+00  0000.00E+00  0000.00E+00
109200.E+00  0000.00E+00  0000.00E+00
110400.E+00  0000.00E+00  0000.00E+00
111600.E+00  0000.00E+00  0000.00E+00
112800.E+00  0000.00E+00  0000.00E+00
114000.E+00  0000.00E+00  0000.00E+00
115200.E+00  0000.00E+00  0000.00E+00
116400.E+00  0000.00E+00  0000.00E+00
117600.E+00  0000.00E+00  0000.00E+00
118800.E+00  0000.00E+00  0000.00E+00
120000.E+00  0000.00E+00  0000.00E+00
