====== He (10) into UO2                         =======
        SRIM-2008.04
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= He(4.2 MeV) ==> UO2(  12 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 4200 keV
 Total Ions calculated =4274.00
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 12000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Ion Average Range = 904322.E-01 A   Straggling = 452595.E-02 A
 Ion Lateral Range = 617847.E-02 A   Straggling = 820054.E-02 A
 Ion Radial  Range = 974924.E-02 A   Straggling = 643927.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1200010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2400010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3600010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4800010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7200010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8400010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9600010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1080001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1200001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1320001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1440001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1560001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1680001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1800001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1920001.E-02 52475054.E-03 52475054.E-03 65347937.E-03 00000000.E+00 
2040001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2160001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2280001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2400001.E-02 12455131.E-03 12455131.E-03 64553640.E-03 00000000.E+00 
2520001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2640001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
