====== Ba (95000) into UO2                      =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Ba(67 MeV) ==> UO2(  10 um) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ba   Energy = 67000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 10000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by   U       by   O       
----------   ------------  -----------  -----------  
100001.E-02  3383.17E-02  2673.69E-02  7133.14E-03  
200001.E-02  4543.68E-02  3596.84E-02  9507.65E-03  
300001.E-02  2713.07E-02  2177.13E-02  5399.83E-03  
400001.E-02  7324.69E-02  6689.95E-02  6388.45E-03  
500001.E-02  4385.50E-02  3167.72E-02  1221.93E-02  
600001.E-02  3577.09E-02  2861.51E-02  7198.00E-03  
700001.E-02  4066.03E-02  2541.90E-02  1528.38E-02  
800001.E-02  4596.77E-02  3953.28E-02  6478.22E-03  
900001.E-02  3383.83E-02  2608.07E-02  7802.45E-03  
100000.E-01  3754.96E-02  2913.38E-02  8461.43E-03  
110000.E-01  4523.00E-02  3631.09E-02  8965.68E-03  
120000.E-01  4508.38E-02  3457.81E-02  1055.24E-02  
130000.E-01  4235.78E-02  3177.74E-02  1062.86E-02  
140000.E-01  3847.74E-02  3045.87E-02  8067.60E-03  
150000.E-01  4187.72E-02  3317.44E-02  8752.55E-03  
160000.E-01  6053.74E-02  4387.91E-02  1670.90E-02  
170000.E-01  5645.91E-02  4586.62E-02  1064.54E-02  
180000.E-01  6625.38E-02  5607.41E-02  1023.32E-02  
190000.E-01  6584.93E-02  5654.50E-02  9359.24E-03  
200000.E-01  4876.78E-02  4031.34E-02  8510.85E-03  
210000.E-01  5044.01E-02  4091.50E-02  9583.07E-03  
220000.E-01  7447.14E-02  5598.77E-02  1854.22E-02  
230000.E-01  8037.89E-02  6262.01E-02  1781.86E-02  
240000.E-01  5495.45E-02  4401.76E-02  1099.84E-02  
250000.E-01  7115.22E-02  5800.96E-02  1320.72E-02  
260000.E-01  7761.97E-02  6417.97E-02  1350.50E-02  
270000.E-01  8126.70E-02  6509.79E-02  1623.65E-02  
280000.E-01  8505.61E-02  6447.24E-02  2065.26E-02  
290000.E-01  1128.41E-01  8690.85E-02  2600.30E-02  
300000.E-01  6817.83E-02  4757.96E-02  2067.03E-02  
310000.E-01  7807.24E-02  5903.08E-02  1911.63E-02  
320000.E-01  1075.28E-01  8978.37E-02  1782.07E-02  
330000.E-01  6776.70E-02  4979.68E-02  1804.70E-02  
340000.E-01  9726.14E-02  7954.28E-02  1779.88E-02  
350000.E-01  9536.31E-02  7389.39E-02  2155.12E-02  
360000.E-01  1176.99E-01  9447.68E-02  2330.68E-02  
370000.E-01  1262.67E-01  1014.56E-01  2490.07E-02  
380000.E-01  1059.86E-01  8005.65E-02  2602.00E-02  
390000.E-01  1298.51E-01  9752.02E-02  3242.68E-02  
400000.E-01  1172.26E-01  8940.66E-02  2791.63E-02  
410000.E-01  1288.83E-01  9986.58E-02  2911.48E-02  
420000.E-01  1312.28E-01  9845.90E-02  3286.73E-02  
430000.E-01  1471.09E-01  1144.28E-01  3277.85E-02  
440000.E-01  1479.37E-01  1121.75E-01  3585.94E-02  
450000.E-01  1539.39E-01  1182.25E-01  3581.50E-02  
460000.E-01  1684.95E-01  1277.81E-01  4082.13E-02  
470000.E-01  1872.54E-01  1421.78E-01  4518.50E-02  
480000.E-01  1838.96E-01  1389.97E-01  4501.38E-02  
490000.E-01  1855.39E-01  1357.94E-01  4986.07E-02  
500000.E-01  2084.28E-01  1612.60E-01  4728.99E-02  
510000.E-01  2010.26E-01  1504.86E-01  5066.83E-02  
520000.E-01  2345.05E-01  1770.01E-01  5763.77E-02  
530000.E-01  2136.48E-01  1573.74E-01  5641.03E-02  
540000.E-01  2369.00E-01  1731.00E-01  6393.78E-02  
550000.E-01  2245.87E-01  1644.32E-01  6029.59E-02  
560000.E-01  2577.25E-01  1903.82E-01  6748.75E-02  
570000.E-01  2499.99E-01  1776.43E-01  7250.44E-02  
580000.E-01  2522.74E-01  1795.23E-01  7290.17E-02  
590000.E-01  2649.76E-01  1894.09E-01  7571.73E-02  
600000.E-01  2445.74E-01  1772.26E-01  6749.25E-02  
