====== Ba (95000) into UO2                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Ba(67 MeV) ==> UO2(  10 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Ba   Energy = 67000 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 10000.E+01 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =002000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100001.E-02  1741.36E+00  1425.51E-02
200001.E-02  1732.99E+00  2246.33E-02
300001.E-02  1706.23E+00  1974.63E-02
400001.E-02  1680.16E+00  2050.96E-02
500001.E-02  1666.32E+00  2358.80E-02
600001.E-02  1641.48E+00  1913.14E-02
700001.E-02  1619.71E+00  2183.90E-02
800001.E-02  1602.72E+00  1952.03E-02
900001.E-02  1583.79E+00  2169.83E-02
100000.E-01  1557.72E+00  1795.75E-02
110000.E-01  1531.95E+00  2271.42E-02
120000.E-01  1513.51E+00  2617.53E-02
130000.E-01  1484.47E+00  2834.34E-02
140000.E-01  1464.62E+00  2721.11E-02
150000.E-01  1434.25E+00  2815.44E-02
160000.E-01  1412.81E+00  2943.15E-02
170000.E-01  1391.46E+00  3292.01E-02
180000.E-01  1362.36E+00  4033.42E-02
190000.E-01  1336.15E+00  3476.77E-02
200000.E-01  1306.13E+00  3171.80E-02
210000.E-01  1272.67E+00  2835.90E-02
220000.E-01  1250.52E+00  4112.73E-02
230000.E-01  1218.82E+00  4042.07E-02
240000.E-01  1188.95E+00  4140.36E-02
250000.E-01  1161.14E+00  4410.09E-02
260000.E-01  1122.04E+00  4096.01E-02
270000.E-01  1092.29E+00  4207.61E-02
280000.E-01  1058.82E+00  4501.94E-02
290000.E-01  1021.91E+00  5075.49E-02
300000.E-01  9894.22E-01  4655.70E-02
310000.E-01  9550.42E-01  4649.01E-02
320000.E-01  9179.21E-01  4756.65E-02
330000.E-01  8865.97E-01  4001.48E-02
340000.E-01  8536.82E-01  4863.93E-02
350000.E-01  8182.33E-01  5363.53E-02
360000.E-01  7852.11E-01  6290.90E-02
370000.E-01  7502.43E-01  7215.09E-02
380000.E-01  7169.53E-01  6209.07E-02
390000.E-01  6862.62E-01  7072.91E-02
400000.E-01  6535.36E-01  6573.87E-02
410000.E-01  6229.10E-01  6659.14E-02
420000.E-01  5894.86E-01  6765.01E-02
430000.E-01  5619.19E-01  7546.89E-02
440000.E-01  5325.66E-01  8246.34E-02
450000.E-01  5075.76E-01  8514.08E-02
460000.E-01  4812.08E-01  8780.85E-02
470000.E-01  4561.50E-01  9864.90E-02
480000.E-01  4341.32E-01  9603.08E-02
490000.E-01  4035.69E-01  1027.98E-01
500000.E-01  3832.55E-01  1112.11E-01
510000.E-01  3577.43E-01  1129.87E-01
520000.E-01  3360.84E-01  1155.55E-01
530000.E-01  3129.29E-01  1204.28E-01
540000.E-01  2919.48E-01  1248.12E-01
550000.E-01  2704.63E-01  1222.57E-01
560000.E-01  2487.51E-01  1305.26E-01
570000.E-01  2278.68E-01  1291.53E-01
580000.E-01  2078.49E-01  1329.81E-01
590000.E-01  1880.83E-01  1382.78E-01
600000.E-01  1664.04E-01  1320.83E-01
610000.E-01  1446.33E-01  1191.23E-01
620000.E-01  1272.07E-01  1191.49E-01
630000.E-01  1052.72E-01  1125.77E-01
640000.E-01  9007.24E-02  1062.50E-01
650000.E-01  7209.49E-02  9873.10E-02
660000.E-01  5616.14E-02  8299.59E-02
670000.E-01  4305.95E-02  6903.16E-02
680000.E-01  3157.77E-02  5744.56E-02
690000.E-01  2202.76E-02  4525.77E-02
700000.E-01  1412.19E-02  3368.74E-02
710000.E-01  9115.87E-03  2369.76E-02
720000.E-01  4942.09E-03  1482.95E-02
730000.E-01  2515.16E-03  7794.58E-03
740000.E-01  1381.23E-03  6286.83E-03
750000.E-01  5104.78E-04  2466.44E-03
760000.E-01  1404.74E-04  1105.38E-03
770000.E-01  5636.64E-05  2826.95E-04
780000.E-01  1108.12E-05  9499.41E-05
790000.E-01  0000.00E+00  0000.00E+00
800000.E-01  0000.00E+00  0000.00E+00
810000.E-01  0000.00E+00  0000.00E+00
820000.E-01  0000.00E+00  0000.00E+00
830000.E-01  0000.00E+00  0000.00E+00
840000.E-01  0000.00E+00  0000.00E+00
850000.E-01  0000.00E+00  0000.00E+00
860000.E-01  0000.00E+00  0000.00E+00
870000.E-01  0000.00E+00  0000.00E+00
880000.E-01  0000.00E+00  0000.00E+00
890000.E-01  0000.00E+00  0000.00E+00
900000.E-01  0000.00E+00  0000.00E+00
910000.E-01  0000.00E+00  0000.00E+00
920000.E-01  0000.00E+00  0000.00E+00
930000.E-01  0000.00E+00  0000.00E+00
940000.E-01  0000.00E+00  0000.00E+00
950000.E-01  0000.00E+00  0000.00E+00
960000.E-01  0000.00E+00  0000.00E+00
970000.E-01  0000.00E+00  0000.00E+00
980000.E-01  0000.00E+00  0000.00E+00
990000.E-01  0000.00E+00  0000.00E+00
100000.E+00  0000.00E+00  0000.00E+00
