====== Ba (95000) into UO2                      =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Ba(67 MeV) ==> UO2(  10 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Ba   Energy = 67000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100001.E-02  281342.E-06  124248.E-04
200001.E-02  284417.E-06  152795.E-04
300001.E-02  289091.E-06  145763.E-04
400001.E-02  292784.E-06  156896.E-04
500001.E-02  294708.E-06  177944.E-04
600001.E-02  299525.E-06  147551.E-04
700001.E-02  304070.E-06  164797.E-04
800001.E-02  309849.E-06  161540.E-04
900001.E-02  309198.E-06  179846.E-04
100000.E-01  315267.E-06  145054.E-04
110000.E-01  321154.E-06  170307.E-04
120000.E-01  327475.E-06  188783.E-04
130000.E-01  329853.E-06  212815.E-04
140000.E-01  338636.E-06  204956.E-04
150000.E-01  344398.E-06  211331.E-04
160000.E-01  350795.E-06  200355.E-04
170000.E-01  356200.E-06  239912.E-04
180000.E-01  361050.E-06  240751.E-04
190000.E-01  370352.E-06  249755.E-04
200000.E-01  378480.E-06  252202.E-04
210000.E-01  383260.E-06  235817.E-04
220000.E-01  387550.E-06  299452.E-04
230000.E-01  394130.E-06  284367.E-04
240000.E-01  403153.E-06  305288.E-04
250000.E-01  416712.E-06  307834.E-04
260000.E-01  420561.E-06  306817.E-04
270000.E-01  432730.E-06  317433.E-04
280000.E-01  440312.E-06  321463.E-04
290000.E-01  448453.E-06  335137.E-04
300000.E-01  455709.E-06  329308.E-04
310000.E-01  471617.E-06  346719.E-04
320000.E-01  477198.E-06  369015.E-04
330000.E-01  485333.E-06  324184.E-04
340000.E-01  495315.E-06  384020.E-04
350000.E-01  511462.E-06  419253.E-04
360000.E-01  517673.E-06  446952.E-04
370000.E-01  536716.E-06  532383.E-04
380000.E-01  541978.E-06  488452.E-04
390000.E-01  560859.E-06  552185.E-04
400000.E-01  563707.E-06  529529.E-04
410000.E-01  563326.E-06  523732.E-04
420000.E-01  559726.E-06  540211.E-04
430000.E-01  544320.E-06  586542.E-04
440000.E-01  525813.E-06  644519.E-04
450000.E-01  536610.E-06  671621.E-04
460000.E-01  553630.E-06  709800.E-04
470000.E-01  571169.E-06  776280.E-04
480000.E-01  593255.E-06  778250.E-04
490000.E-01  595042.E-06  827056.E-04
500000.E-01  613603.E-06  894762.E-04
510000.E-01  629023.E-06  921560.E-04
520000.E-01  644183.E-06  963977.E-04
530000.E-01  651353.E-06  100389.E-03
540000.E-01  653959.E-06  104259.E-03
550000.E-01  653865.E-06  103339.E-03
560000.E-01  655851.E-06  112504.E-03
570000.E-01  653664.E-06  111278.E-03
580000.E-01  645132.E-06  114422.E-03
590000.E-01  630699.E-06  119803.E-03
600000.E-01  587712.E-06  114290.E-03
610000.E-01  563738.E-06  105865.E-03
620000.E-01  544819.E-06  109341.E-03
630000.E-01  501605.E-06  101257.E-03
640000.E-01  481883.E-06  985361.E-04
650000.E-01  439300.E-06  914593.E-04
660000.E-01  373297.E-06  762877.E-04
670000.E-01  312631.E-06  655861.E-04
680000.E-01  267577.E-06  555747.E-04
690000.E-01  213845.E-06  442436.E-04
700000.E-01  153578.E-06  325809.E-04
710000.E-01  119788.E-06  235321.E-04
720000.E-01  720263.E-07  143496.E-04
730000.E-01  378748.E-07  708638.E-05
740000.E-01  260104.E-07  612145.E-05
750000.E-01  101201.E-07  233184.E-05
760000.E-01  498645.E-08  112913.E-05
770000.E-01  116234.E-08  269415.E-06
780000.E-01  653431.E-09  117359.E-06
790000.E-01  000000.E+00  000000.E+00
800000.E-01  000000.E+00  000000.E+00
810000.E-01  000000.E+00  000000.E+00
820000.E-01  000000.E+00  000000.E+00
830000.E-01  000000.E+00  000000.E+00
840000.E-01  000000.E+00  000000.E+00
850000.E-01  000000.E+00  000000.E+00
860000.E-01  000000.E+00  000000.E+00
870000.E-01  000000.E+00  000000.E+00
880000.E-01  000000.E+00  000000.E+00
890000.E-01  000000.E+00  000000.E+00
900000.E-01  000000.E+00  000000.E+00
910000.E-01  000000.E+00  000000.E+00
920000.E-01  000000.E+00  000000.E+00
930000.E-01  000000.E+00  000000.E+00
940000.E-01  000000.E+00  000000.E+00
950000.E-01  000000.E+00  000000.E+00
960000.E-01  000000.E+00  000000.E+00
970000.E-01  000000.E+00  000000.E+00
980000.E-01  000000.E+00  000000.E+00
990000.E-01  000000.E+00  000000.E+00
100000.E+00  000000.E+00  000000.E+00
