====== Ba (95000) into UO2                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Ba(67 MeV) ==> UO2(  10 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Ba   Energy = 67000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     1.E+05 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
 Total Target Vacancies     = 96051 /Ion
 Total Target Displacements = 100588 /Ion
 Total Target Replacement Collisions = 4538 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Ba            U            O       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
100001.E-02  1278.45E-05  8642.55E-05  2369.05E-04  
200001.E-02  1308.05E-05  1055.73E-04  2909.76E-04  
300001.E-02  1347.50E-05  1011.05E-04  2773.32E-04  
400001.E-02  1367.20E-05  1076.19E-04  2996.06E-04  
500001.E-02  1379.25E-05  1216.38E-04  3401.06E-04  
600001.E-02  1407.10E-05  1020.58E-04  2802.80E-04  
700001.E-02  1417.80E-05  1130.11E-04  3138.67E-04  
800001.E-02  1444.25E-05  1104.18E-04  3085.42E-04  
900001.E-02  1495.90E-05  1235.62E-04  3426.11E-04  
100000.E-01  1521.70E-05  1012.33E-04  2754.28E-04  
110000.E-01  1553.65E-05  1169.51E-04  3244.01E-04  
120000.E-01  1556.45E-05  1290.68E-04  3598.33E-04  
130000.E-01  1606.55E-05  1449.69E-04  4070.69E-04  
140000.E-01  1629.55E-05  1407.30E-04  3902.41E-04  
150000.E-01  1660.70E-05  1439.32E-04  4036.17E-04  
160000.E-01  1692.25E-05  1369.32E-04  3818.96E-04  
170000.E-01  1750.30E-05  1642.87E-04  4571.44E-04  
180000.E-01  1780.95E-05  1633.35E-04  4589.39E-04  
190000.E-01  1829.15E-05  1695.25E-04  4771.78E-04  
200000.E-01  1883.10E-05  1716.15E-04  4818.31E-04  
210000.E-01  1931.80E-05  1620.82E-04  4490.02E-04  
220000.E-01  1950.90E-05  2025.92E-04  5726.58E-04  
230000.E-01  1994.60E-05  1932.21E-04  5432.02E-04  
240000.E-01  2050.30E-05  2068.13E-04  5844.58E-04  
250000.E-01  2156.95E-05  2086.05E-04  5880.05E-04  
260000.E-01  2166.20E-05  2084.55E-04  5858.83E-04  
270000.E-01  2245.80E-05  2155.24E-04  6064.38E-04  
280000.E-01  2295.75E-05  2174.14E-04  6151.19E-04  
290000.E-01  2352.85E-05  2276.41E-04  6400.19E-04  
300000.E-01  2386.10E-05  2232.67E-04  6292.94E-04  
310000.E-01  2489.10E-05  2348.82E-04  6614.28E-04  
320000.E-01  2531.80E-05  2485.32E-04  7063.12E-04  
330000.E-01  2561.95E-05  2209.79E-04  6183.18E-04  
340000.E-01  2674.20E-05  2611.06E-04  7331.09E-04  
350000.E-01  2734.60E-05  2828.55E-04  8023.71E-04  
360000.E-01  2820.30E-05  3008.04E-04  8551.32E-04  
370000.E-01  2996.60E-05  3570.15E-04  1020.55E-03  
380000.E-01  3010.65E-05  3268.43E-04  9352.05E-04  
390000.E-01  3183.30E-05  3703.84E-04  1058.36E-03  
400000.E-01  3224.15E-05  3551.57E-04  1014.52E-03  
410000.E-01  3250.90E-05  3500.94E-04  1003.16E-03  
420000.E-01  3262.00E-05  3612.23E-04  1037.09E-03  
430000.E-01  3260.05E-05  3907.62E-04  1126.39E-03  
440000.E-01  3246.45E-05  4267.78E-04  1241.54E-03  
450000.E-01  3345.05E-05  4432.21E-04  1294.25E-03  
460000.E-01  3556.25E-05  4682.60E-04  1368.19E-03  
470000.E-01  3657.95E-05  5102.75E-04  1495.62E-03  
480000.E-01  3839.30E-05  5134.10E-04  1499.49E-03  
490000.E-01  3878.15E-05  5440.31E-04  1593.90E-03  
500000.E-01  4078.25E-05  5883.97E-04  1724.84E-03  
510000.E-01  4269.60E-05  6053.26E-04  1774.97E-03  
520000.E-01  4447.30E-05  6350.27E-04  1857.68E-03  
530000.E-01  4553.80E-05  6600.97E-04  1934.22E-03  
540000.E-01  4591.35E-05  6862.11E-04  2008.20E-03  
550000.E-01  4708.00E-05  6778.29E-04  1991.20E-03  
560000.E-01  4808.50E-05  7382.20E-04  2167.23E-03  
570000.E-01  4959.35E-05  7302.57E-04  2143.95E-03  
580000.E-01  5002.35E-05  7506.38E-04  2203.31E-03  
590000.E-01  5004.45E-05  7855.75E-04  2307.30E-03  
600000.E-01  4797.45E-05  7495.14E-04  2197.73E-03  
610000.E-01  4630.95E-05  6938.45E-04  2037.25E-03  
620000.E-01  4574.80E-05  7171.30E-04  2105.89E-03  
630000.E-01  4247.60E-05  6625.12E-04  1948.50E-03  
640000.E-01  4159.50E-05  6456.93E-04  1896.91E-03  
650000.E-01  3873.40E-05  5986.95E-04  1762.38E-03  
660000.E-01  3344.55E-05  4977.64E-04  1468.21E-03  
670000.E-01  2761.40E-05  4285.81E-04  1262.74E-03  
680000.E-01  2439.80E-05  3633.89E-04  1070.91E-03  
690000.E-01  1990.55E-05  2888.16E-04  8532.90E-04  
700000.E-01  1419.75E-05  2132.11E-04  6273.16E-04  
710000.E-01  1144.70E-05  1538.03E-04  4533.77E-04  
720000.E-01  6949.00E-06  9358.95E-05  2763.56E-04  
730000.E-01  3557.00E-06  4633.10E-05  1357.86E-04  
740000.E-01  2601.00E-06  4000.30E-05  1178.90E-04  
750000.E-01  9695.00E-07  1535.20E-05  4461.35E-05  
760000.E-01  5875.00E-07  7487.50E-06  2167.95E-05  
770000.E-01  1260.00E-07  1819.00E-06  5167.50E-06  
780000.E-01  7050.00E-08  8025.00E-07  2178.50E-06  
790000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
800000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
810000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
820000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
830000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
840000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
850000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
860000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
870000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
880000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
890000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
900000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
910000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
920000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
930000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
940000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
950000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
960000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
970000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
980000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
990000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
