====== Kr (70) into UO2                         =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Kr(95 MeV) ==> UO2(  20 um) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Kr   Energy = 95000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 20000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by   U       by   O       
----------   ------------  -----------  -----------  
200001.E-02  5420.80E-03  4188.61E-03  1246.70E-03  
400001.E-02  6138.30E-03  5161.27E-03  9920.17E-04  
600001.E-02  1002.19E-02  8427.87E-03  1609.39E-03  
800001.E-02  1064.34E-02  8558.13E-03  2101.22E-03  
100000.E-01  1039.33E-02  7693.38E-03  2716.30E-03  
120000.E-01  7733.20E-03  5110.54E-03  2639.73E-03  
140000.E-01  9647.79E-03  6673.41E-03  2991.67E-03  
160000.E-01  9882.28E-03  6302.26E-03  3598.12E-03  
180000.E-01  9366.99E-03  7221.21E-03  2164.32E-03  
200000.E-01  1143.52E-02  9870.30E-03  1584.33E-03  
220000.E-01  1256.32E-02  1041.90E-02  2164.38E-03  
240000.E-01  1169.21E-02  8729.32E-03  2983.86E-03  
260000.E-01  1044.17E-02  7643.07E-03  2820.29E-03  
280000.E-01  1135.05E-02  8622.70E-03  2750.47E-03  
300000.E-01  2297.91E-02  1749.15E-02  5511.28E-03  
320000.E-01  2149.50E-02  1887.32E-02  2646.63E-03  
340000.E-01  1546.19E-02  1247.87E-02  3009.36E-03  
360000.E-01  2369.62E-02  1910.69E-02  4617.31E-03  
380000.E-01  1991.28E-02  1592.58E-02  4016.25E-03  
400000.E-01  2567.80E-02  1858.84E-02  7120.22E-03  
420000.E-01  2373.76E-02  1430.14E-02  9469.68E-03  
440000.E-01  2658.10E-02  1994.84E-02  6667.77E-03  
460000.E-01  3147.79E-02  2623.17E-02  5284.27E-03  
480000.E-01  2752.14E-02  2143.17E-02  6129.93E-03  
500000.E-01  3601.85E-02  2920.32E-02  6859.22E-03  
520000.E-01  3464.34E-02  2780.58E-02  6884.50E-03  
540000.E-01  3823.52E-02  2943.85E-02  8847.02E-03  
560000.E-01  5379.91E-02  4232.06E-02  1153.48E-02  
580000.E-01  5097.78E-02  3808.48E-02  1295.43E-02  
600000.E-01  5577.31E-02  4199.78E-02  1384.10E-02  
620000.E-01  6236.38E-02  4709.92E-02  1533.51E-02  
640000.E-01  8389.30E-02  6092.92E-02  2304.18E-02  
660000.E-01  8713.54E-02  6464.24E-02  2257.88E-02  
680000.E-01  9987.35E-02  7197.65E-02  2799.36E-02  
700000.E-01  1083.76E-01  7766.50E-02  3081.71E-02  
720000.E-01  1155.40E-01  8277.18E-02  3288.20E-02  
740000.E-01  1413.90E-01  1008.50E-01  4066.98E-02  
760000.E-01  1441.44E-01  9855.06E-02  4572.89E-02  
780000.E-01  1243.61E-01  8301.79E-02  4146.63E-02  
800000.E-01  1101.04E-01  7024.06E-02  3997.38E-02  
820000.E-01  8634.85E-02  5610.66E-02  3033.22E-02  
840000.E-01  4429.57E-02  2791.74E-02  1642.89E-02  
860000.E-01  1899.16E-02  1174.57E-02  7268.30E-03  
880000.E-01  5385.04E-03  3330.17E-03  2061.87E-03  
900000.E-01  8661.35E-04  4920.66E-04  3753.95E-04  
920000.E-01  5662.73E-05  3805.41E-05  1870.29E-05  
940000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
960000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
980000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
102000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
104000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
106000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
108000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
110000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
112000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
114000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
116000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
118000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
