====== Kr (70) into UO2                         =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Kr(95 MeV) ==> UO2(  20 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Kr   Energy = 95000 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 20000.E+01 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =002000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200001.E-02  1935.94E+00  2053.18E-03
400001.E-02  1920.77E+00  2657.28E-03
600001.E-02  1908.00E+00  3898.84E-03
800001.E-02  1891.44E+00  5366.64E-03
100000.E-01  1871.44E+00  5085.58E-03
120000.E-01  1850.03E+00  4953.05E-03
140000.E-01  1831.15E+00  5992.05E-03
160000.E-01  1804.48E+00  6505.16E-03
180000.E-01  1784.46E+00  6441.80E-03
200000.E-01  1756.76E+00  5823.16E-03
220000.E-01  1724.47E+00  7135.00E-03
240000.E-01  1692.98E+00  6686.59E-03
260000.E-01  1658.54E+00  6882.62E-03
280000.E-01  1624.88E+00  6320.83E-03
300000.E-01  1578.42E+00  7701.76E-03
320000.E-01  1536.30E+00  1037.11E-02
340000.E-01  1487.70E+00  9183.94E-03
360000.E-01  1434.03E+00  1115.95E-02
380000.E-01  1375.68E+00  9836.49E-03
400000.E-01  1312.61E+00  1088.00E-02
420000.E-01  1245.02E+00  1284.85E-02
440000.E-01  1170.90E+00  1655.16E-02
460000.E-01  1093.17E+00  1643.48E-02
480000.E-01  1008.54E+00  1445.44E-02
500000.E-01  9283.55E-01  1815.54E-02
520000.E-01  8427.32E-01  1724.58E-02
540000.E-01  7658.96E-01  2017.22E-02
560000.E-01  6885.89E-01  2642.86E-02
580000.E-01  6150.67E-01  2551.34E-02
600000.E-01  5467.94E-01  2910.39E-02
620000.E-01  4840.89E-01  3429.37E-02
640000.E-01  4312.61E-01  3933.54E-02
660000.E-01  3815.85E-01  4449.00E-02
680000.E-01  3313.47E-01  5003.11E-02
700000.E-01  2824.41E-01  5200.31E-02
720000.E-01  2349.56E-01  5833.48E-02
740000.E-01  1945.44E-01  6710.46E-02
760000.E-01  1479.15E-01  7015.36E-02
780000.E-01  1039.89E-01  5981.05E-02
800000.E-01  6756.61E-02  5286.91E-02
820000.E-01  3911.12E-02  4207.39E-02
840000.E-01  1626.43E-02  2189.66E-02
860000.E-01  5568.82E-03  9260.29E-03
880000.E-01  1313.96E-03  2846.12E-03
900000.E-01  1954.91E-04  4725.83E-04
920000.E-01  9478.21E-06  4229.32E-05
940000.E-01  0000.00E+00  0000.00E+00
960000.E-01  0000.00E+00  0000.00E+00
980000.E-01  0000.00E+00  0000.00E+00
100000.E+00  0000.00E+00  0000.00E+00
102000.E+00  0000.00E+00  0000.00E+00
104000.E+00  0000.00E+00  0000.00E+00
106000.E+00  0000.00E+00  0000.00E+00
108000.E+00  0000.00E+00  0000.00E+00
110000.E+00  0000.00E+00  0000.00E+00
112000.E+00  0000.00E+00  0000.00E+00
114000.E+00  0000.00E+00  0000.00E+00
116000.E+00  0000.00E+00  0000.00E+00
118000.E+00  0000.00E+00  0000.00E+00
120000.E+00  0000.00E+00  0000.00E+00
122000.E+00  0000.00E+00  0000.00E+00
124000.E+00  0000.00E+00  0000.00E+00
126000.E+00  0000.00E+00  0000.00E+00
128000.E+00  0000.00E+00  0000.00E+00
130000.E+00  0000.00E+00  0000.00E+00
132000.E+00  0000.00E+00  0000.00E+00
134000.E+00  0000.00E+00  0000.00E+00
136000.E+00  0000.00E+00  0000.00E+00
138000.E+00  0000.00E+00  0000.00E+00
140000.E+00  0000.00E+00  0000.00E+00
142000.E+00  0000.00E+00  0000.00E+00
144000.E+00  0000.00E+00  0000.00E+00
146000.E+00  0000.00E+00  0000.00E+00
148000.E+00  0000.00E+00  0000.00E+00
150000.E+00  0000.00E+00  0000.00E+00
152000.E+00  0000.00E+00  0000.00E+00
154000.E+00  0000.00E+00  0000.00E+00
156000.E+00  0000.00E+00  0000.00E+00
158000.E+00  0000.00E+00  0000.00E+00
160000.E+00  0000.00E+00  0000.00E+00
162000.E+00  0000.00E+00  0000.00E+00
164000.E+00  0000.00E+00  0000.00E+00
166000.E+00  0000.00E+00  0000.00E+00
168000.E+00  0000.00E+00  0000.00E+00
170000.E+00  0000.00E+00  0000.00E+00
172000.E+00  0000.00E+00  0000.00E+00
174000.E+00  0000.00E+00  0000.00E+00
176000.E+00  0000.00E+00  0000.00E+00
178000.E+00  0000.00E+00  0000.00E+00
180000.E+00  0000.00E+00  0000.00E+00
182000.E+00  0000.00E+00  0000.00E+00
184000.E+00  0000.00E+00  0000.00E+00
186000.E+00  0000.00E+00  0000.00E+00
188000.E+00  0000.00E+00  0000.00E+00
190000.E+00  0000.00E+00  0000.00E+00
192000.E+00  0000.00E+00  0000.00E+00
194000.E+00  0000.00E+00  0000.00E+00
196000.E+00  0000.00E+00  0000.00E+00
198000.E+00  0000.00E+00  0000.00E+00
200000.E+00  0000.00E+00  0000.00E+00
