====== Kr (70) into UO2                         =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Kr(95 MeV) ==> UO2(  20 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Kr   Energy = 95000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     2.E+05 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200001.E-02  127935.E-06  263618.E-05
400001.E-02  129411.E-06  335107.E-05
600001.E-02  133131.E-06  304547.E-05
800001.E-02  135465.E-06  421346.E-05
100000.E-01  139904.E-06  413014.E-05
120000.E-01  143530.E-06  416818.E-05
140000.E-01  147677.E-06  454148.E-05
160000.E-01  152380.E-06  466771.E-05
180000.E-01  156746.E-06  515058.E-05
200000.E-01  161856.E-06  521576.E-05
220000.E-01  166439.E-06  575283.E-05
240000.E-01  172280.E-06  548438.E-05
260000.E-01  177681.E-06  600942.E-05
280000.E-01  184137.E-06  575510.E-05
300000.E-01  191006.E-06  614667.E-05
320000.E-01  196876.E-06  718593.E-05
340000.E-01  207276.E-06  847272.E-05
360000.E-01  215151.E-06  997656.E-05
380000.E-01  225524.E-06  887433.E-05
400000.E-01  235998.E-06  964702.E-05
420000.E-01  252825.E-06  106041.E-04
440000.E-01  265664.E-06  128344.E-04
460000.E-01  279404.E-06  130813.E-04
480000.E-01  293504.E-06  127983.E-04
500000.E-01  314263.E-06  155733.E-04
520000.E-01  332794.E-06  167360.E-04
540000.E-01  353876.E-06  187954.E-04
560000.E-01  382284.E-06  226960.E-04
580000.E-01  409273.E-06  229737.E-04
600000.E-01  434328.E-06  259018.E-04
620000.E-01  453711.E-06  315332.E-04
640000.E-01  459502.E-06  354201.E-04
660000.E-01  482121.E-06  417302.E-04
680000.E-01  524111.E-06  470520.E-04
700000.E-01  563725.E-06  514744.E-04
720000.E-01  591272.E-06  574250.E-04
740000.E-01  637726.E-06  673461.E-04
760000.E-01  630945.E-06  709645.E-04
780000.E-01  543425.E-06  616591.E-04
800000.E-01  459792.E-06  552520.E-04
820000.E-01  363765.E-06  446883.E-04
840000.E-01  197777.E-06  237193.E-04
860000.E-01  864656.E-07  100770.E-04
880000.E-01  260497.E-07  307750.E-05
900000.E-01  509487.E-08  532250.E-06
920000.E-01  443587.E-09  480900.E-07
940000.E-01  000000.E+00  000000.E+00
960000.E-01  000000.E+00  000000.E+00
980000.E-01  000000.E+00  000000.E+00
100000.E+00  000000.E+00  000000.E+00
102000.E+00  000000.E+00  000000.E+00
104000.E+00  000000.E+00  000000.E+00
106000.E+00  000000.E+00  000000.E+00
108000.E+00  000000.E+00  000000.E+00
110000.E+00  000000.E+00  000000.E+00
112000.E+00  000000.E+00  000000.E+00
114000.E+00  000000.E+00  000000.E+00
116000.E+00  000000.E+00  000000.E+00
118000.E+00  000000.E+00  000000.E+00
120000.E+00  000000.E+00  000000.E+00
122000.E+00  000000.E+00  000000.E+00
124000.E+00  000000.E+00  000000.E+00
126000.E+00  000000.E+00  000000.E+00
128000.E+00  000000.E+00  000000.E+00
130000.E+00  000000.E+00  000000.E+00
132000.E+00  000000.E+00  000000.E+00
134000.E+00  000000.E+00  000000.E+00
136000.E+00  000000.E+00  000000.E+00
138000.E+00  000000.E+00  000000.E+00
140000.E+00  000000.E+00  000000.E+00
142000.E+00  000000.E+00  000000.E+00
144000.E+00  000000.E+00  000000.E+00
146000.E+00  000000.E+00  000000.E+00
148000.E+00  000000.E+00  000000.E+00
150000.E+00  000000.E+00  000000.E+00
152000.E+00  000000.E+00  000000.E+00
154000.E+00  000000.E+00  000000.E+00
156000.E+00  000000.E+00  000000.E+00
158000.E+00  000000.E+00  000000.E+00
160000.E+00  000000.E+00  000000.E+00
162000.E+00  000000.E+00  000000.E+00
164000.E+00  000000.E+00  000000.E+00
166000.E+00  000000.E+00  000000.E+00
168000.E+00  000000.E+00  000000.E+00
170000.E+00  000000.E+00  000000.E+00
172000.E+00  000000.E+00  000000.E+00
174000.E+00  000000.E+00  000000.E+00
176000.E+00  000000.E+00  000000.E+00
178000.E+00  000000.E+00  000000.E+00
180000.E+00  000000.E+00  000000.E+00
182000.E+00  000000.E+00  000000.E+00
184000.E+00  000000.E+00  000000.E+00
186000.E+00  000000.E+00  000000.E+00
188000.E+00  000000.E+00  000000.E+00
190000.E+00  000000.E+00  000000.E+00
192000.E+00  000000.E+00  000000.E+00
194000.E+00  000000.E+00  000000.E+00
196000.E+00  000000.E+00  000000.E+00
198000.E+00  000000.E+00  000000.E+00
200000.E+00  000000.E+00  000000.E+00
