====== Kr (70) into UO2                         =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Kr(95 MeV) ==> UO2(  20 um) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Kr   Energy = 95000 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     2.E+05 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =2000.00
 Total Target Vacancies     = 46011 /Ion
 Total Target Displacements = 48183 /Ion
 Total Target Replacement Collisions = 2172 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Kr            U            O       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
200001.E-02  4837.25E-06  1920.70E-05  4954.30E-05  
400001.E-02  4997.00E-06  2409.45E-05  6291.95E-05  
600001.E-02  5124.50E-06  2255.30E-05  5667.85E-05  
800001.E-02  5304.25E-06  3018.58E-05  7935.70E-05  
100000.E-01  5459.25E-06  2946.33E-05  7776.35E-05  
120000.E-01  5689.25E-06  2967.55E-05  7857.23E-05  
140000.E-01  5763.00E-06  3209.25E-05  8583.45E-05  
160000.E-01  6035.00E-06  3313.55E-05  8794.90E-05  
180000.E-01  6176.75E-06  3647.68E-05  9750.42E-05  
200000.E-01  6468.75E-06  3687.93E-05  9859.12E-05  
220000.E-01  6700.00E-06  4048.63E-05  1086.87E-04  
240000.E-01  7021.00E-06  3882.43E-05  1036.68E-04  
260000.E-01  7224.50E-06  4249.83E-05  1135.90E-04  
280000.E-01  7546.25E-06  4097.70E-05  1082.53E-04  
300000.E-01  7901.75E-06  4342.13E-05  1160.75E-04  
320000.E-01  8274.25E-06  5057.68E-05  1361.74E-04  
340000.E-01  8730.75E-06  5878.43E-05  1609.09E-04  
360000.E-01  9319.75E-06  6880.23E-05  1898.91E-04  
380000.E-01  9729.25E-06  6195.25E-05  1681.87E-04  
400000.E-01  1021.50E-05  6706.90E-05  1832.70E-04  
420000.E-01  1116.43E-05  7382.70E-05  2009.51E-04  
440000.E-01  1174.35E-05  8814.92E-05  2442.05E-04  
460000.E-01  1268.95E-05  9041.70E-05  2487.22E-04  
480000.E-01  1340.65E-05  8861.77E-05  2437.61E-04  
500000.E-01  1463.53E-05  1069.87E-04  2965.13E-04  
520000.E-01  1564.55E-05  1154.55E-04  3185.56E-04  
540000.E-01  1677.30E-05  1293.91E-04  3587.33E-04  
560000.E-01  1877.23E-05  1551.78E-04  4328.68E-04  
580000.E-01  2044.70E-05  1564.05E-04  4386.51E-04  
600000.E-01  2188.13E-05  1762.17E-04  4940.39E-04  
620000.E-01  2350.15E-05  2133.21E-04  6032.21E-04  
640000.E-01  2602.53E-05  2373.70E-04  6791.02E-04  
660000.E-01  2860.88E-05  2799.42E-04  8015.72E-04  
680000.E-01  3220.18E-05  3133.87E-04  9055.96E-04  
700000.E-01  3529.58E-05  3423.89E-04  9903.99E-04  
720000.E-01  3804.90E-05  3809.02E-04  1105.65E-03  
740000.E-01  4324.28E-05  4462.78E-04  1297.42E-03  
760000.E-01  4507.10E-05  4696.11E-04  1366.46E-03  
780000.E-01  4107.33E-05  4071.72E-04  1187.18E-03  
800000.E-01  3669.63E-05  3648.33E-04  1063.31E-03  
820000.E-01  3008.18E-05  2948.31E-04  8598.78E-04  
840000.E-01  1686.55E-05  1557.94E-04  4569.46E-04  
860000.E-01  7485.50E-06  6614.60E-05  1940.35E-04  
880000.E-01  2333.25E-06  2010.45E-05  5941.90E-05  
900000.E-01  4420.00E-07  3493.00E-06  1025.85E-05  
920000.E-01  4325.00E-08  3152.50E-07  9457.50E-07  
940000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
960000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
980000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
102000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
104000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
106000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
108000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
110000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
112000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
114000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
116000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
118000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
122000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
124000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
126000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
128000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
130000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
132000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
134000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
136000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
138000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
140000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
142000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
144000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
146000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
148000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
152000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
154000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
156000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
158000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
160000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
162000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
164000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
166000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
168000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
170000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
172000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
174000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
176000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
178000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
180000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
182000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
184000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
186000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
188000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
190000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
192000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
194000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
196000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
198000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  
200000.E+00  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
