====== Th (4200) into UO2                       =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  600 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     6.E+02 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Total Ions calculated =1522.00
 Total Target Vacancies     = 1039 /Ion
 Total Target Displacements = 1090 /Ion
 Total Target Replacement Collisions = 51 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Th            O            U       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
601000.E-05  1725.82E-04  1973.78E-03  5696.65E-04  
120100.E-04  2274.40E-04  2053.87E-03  7018.44E-04  
180100.E-04  2397.04E-04  2555.54E-03  8698.93E-04  
240100.E-04  2461.65E-04  2961.50E-03  1016.70E-03  
300100.E-04  2780.29E-04  3358.94E-03  1138.11E-03  
360100.E-04  2728.82E-04  3642.61E-03  1240.70E-03  
420100.E-04  3004.76E-04  3971.68E-03  1344.37E-03  
480100.E-04  2868.98E-04  4198.68E-03  1439.14E-03  
540100.E-04  2948.91E-04  4443.51E-03  1504.55E-03  
600100.E-04  3112.07E-04  4628.39E-03  1609.72E-03  
660100.E-04  3009.14E-04  4751.03E-03  1609.39E-03  
720100.E-04  3101.12E-04  4873.23E-03  1671.84E-03  
780100.E-04  3167.91E-04  4879.25E-03  1649.05E-03  
840100.E-04  3129.59E-04  4723.68E-03  1621.01E-03  
900100.E-04  3087.98E-04  4615.16E-03  1605.67E-03  
960100.E-04  3006.95E-04  4576.43E-03  1563.93E-03  
102010.E-03  2965.34E-04  4615.49E-03  1556.26E-03  
108010.E-03  3008.04E-04  4430.17E-03  1471.46E-03  
114010.E-03  2820.80E-04  4256.44E-03  1419.31E-03  
120010.E-03  2704.73E-04  4106.13E-03  1398.71E-03  
126010.E-03  2703.64E-04  3964.24E-03  1367.49E-03  
132010.E-03  2664.22E-04  3885.36E-03  1315.58E-03  
138010.E-03  2479.17E-04  3628.82E-03  1256.02E-03  
144010.E-03  2472.60E-04  3450.51E-03  1168.99E-03  
150010.E-03  2307.25E-04  3269.67E-03  1114.03E-03  
156010.E-03  2215.27E-04  3061.49E-03  1032.03E-03  
162010.E-03  2018.18E-04  2900.34E-03  9447.76E-04  
168010.E-03  1881.30E-04  2600.13E-03  8828.11E-04  
174010.E-03  1803.56E-04  2431.85E-03  8287.29E-04  
180010.E-03  1690.78E-04  2210.65E-03  7460.73E-04  
186010.E-03  1427.96E-04  1983.10E-03  6483.00E-04  
192010.E-03  1365.54E-04  1790.93E-03  5883.93E-04  
198010.E-03  1189.23E-04  1622.98E-03  5339.62E-04  
204010.E-03  1076.44E-04  1461.16E-03  4888.41E-04  
210010.E-03  9822.60E-05  1305.51E-03  4291.53E-04  
216010.E-03  9406.46E-05  1124.87E-03  3707.80E-04  
222010.E-03  8300.43E-05  9918.52E-04  3160.25E-04  
228010.E-03  7424.40E-05  8519.38E-04  2808.76E-04  
234010.E-03  5880.41E-05  7436.64E-04  2395.95E-04  
240010.E-03  4774.42E-05  6474.24E-04  1987.52E-04  
246010.E-03  4577.32E-05  5869.69E-04  1861.60E-04  
252010.E-03  3766.98E-05  5127.16E-04  1655.74E-04  
258010.E-03  3055.19E-05  4370.39E-04  1391.82E-04  
264010.E-03  2485.76E-05  3751.61E-04  1115.86E-04  
270010.E-03  2452.91E-05  3316.83E-04  9899.25E-05  
276010.E-03  2036.79E-05  2885.40E-04  8190.93E-05  
282010.E-03  1511.17E-05  2456.17E-04  6712.63E-05  
288010.E-03  1314.06E-05  2030.22E-04  5683.30E-05  
294010.E-03  8760.41E-06  1737.86E-04  5595.70E-05  
300010.E-03  8212.88E-06  1453.15E-04  4796.32E-05  
306010.E-03  7227.33E-06  1253.84E-04  3318.01E-05  
312010.E-03  5694.26E-06  1126.81E-04  2803.33E-05  
318010.E-03  4489.71E-06  8705.60E-05  2255.80E-05  
324010.E-03  3723.17E-06  7052.10E-05  1905.39E-05  
330010.E-03  3175.65E-06  5978.96E-05  1752.08E-05  
336010.E-03  2409.11E-06  5759.95E-05  1609.72E-05  
342010.E-03  1095.05E-06  5398.59E-05  1281.21E-05  
348010.E-03  3285.15E-07  4741.57E-05  1401.66E-05  
354010.E-03  1314.06E-06  4106.45E-05  1007.45E-05  
360010.E-03  0000.00E+00  3788.88E-05  8869.91E-06  
366010.E-03  0000.00E+00  3153.75E-05  7665.35E-06  
372010.E-03  0000.00E+00  2398.16E-05  6570.30E-06  
378010.E-03  0000.00E+00  2255.80E-05  7008.32E-06  
384010.E-03  0000.00E+00  2409.11E-05  5365.74E-06  
390010.E-03  0000.00E+00  1741.13E-05  2956.64E-06  
396010.E-03  0000.00E+00  1609.72E-05  3832.68E-06  
402010.E-03  0000.00E+00  1346.91E-05  4489.71E-06  
408010.E-03  0000.00E+00  1686.38E-05  3285.15E-06  
414010.E-03  0000.00E+00  1160.75E-05  2518.62E-06  
420010.E-03  0000.00E+00  1018.40E-05  2190.10E-06  
426010.E-03  0000.00E+00  8103.38E-06  9855.45E-07  
432010.E-03  0000.00E+00  5475.25E-06  8760.40E-07  
438010.E-03  0000.00E+00  6460.80E-06  8760.40E-07  
444010.E-03  0000.00E+00  4489.71E-06  7665.35E-07  
450010.E-03  0000.00E+00  5146.73E-06  8760.40E-07  
456010.E-03  0000.00E+00  5475.25E-06  6570.30E-07  
462010.E-03  0000.00E+00  7117.83E-06  6570.30E-07  
468010.E-03  0000.00E+00  4489.71E-06  1095.05E-06  
474010.E-03  0000.00E+00  5365.74E-06  1861.59E-06  
480010.E-03  0000.00E+00  2847.13E-06  4380.20E-07  
486010.E-03  0000.00E+00  2409.11E-06  8760.40E-07  
492010.E-03  0000.00E+00  1752.08E-06  4380.20E-07  
498010.E-03  0000.00E+00  1861.59E-06  3285.15E-07  
504010.E-03  0000.00E+00  1861.59E-06  2190.10E-07  
510010.E-03  0000.00E+00  8760.40E-07  3285.15E-07  
516010.E-03  0000.00E+00  1095.05E-06  3285.15E-07  
522010.E-03  0000.00E+00  1095.05E-06  3285.15E-07  
528010.E-03  0000.00E+00  4380.20E-07  6570.30E-07  
534010.E-03  0000.00E+00  5475.25E-07  1095.05E-07  
540010.E-03  0000.00E+00  1204.56E-06  4380.20E-07  
546010.E-03  0000.00E+00  2190.10E-07  0000.00E+00  
552010.E-03  0000.00E+00  7665.35E-07  0000.00E+00  
558010.E-03  0000.00E+00  4380.20E-07  0000.00E+00  
564010.E-03  0000.00E+00  1204.56E-06  2190.10E-07  
570010.E-03  0000.00E+00  3285.15E-07  1095.05E-07  
576010.E-03  0000.00E+00  1204.56E-06  0000.00E+00  
582010.E-03  0000.00E+00  8760.40E-07  0000.00E+00  
588010.E-03  0000.00E+00  4380.20E-07  1095.05E-07  
594010.E-03  0000.00E+00  4380.20E-07  1095.05E-07  
600010.E-03  0000.00E+00  2190.10E-07  1095.05E-07  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
