====== Th (4200) into UO2                       =======
        SRIM-2008.04
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  600 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 60000.E-02 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Total Ions calculated =1487.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by   O       by   U       
----------   ------------  -----------  -----------  
601000.E-05  4899.96E-01  1716.80E-01  3188.33E-01  
120100.E-04  4952.89E-01  1646.77E-01  3312.95E-01  
180100.E-04  5214.57E-01  1829.09E-01  3392.68E-01  
240100.E-04  4866.59E-01  1610.35E-01  3263.64E-01  
300100.E-04  4514.08E-01  1595.08E-01  2927.31E-01  
360100.E-04  5125.60E-01  1794.65E-01  3339.14E-01  
420100.E-04  4939.92E-01  1588.23E-01  3360.69E-01  
480100.E-04  4325.27E-01  1518.83E-01  2814.92E-01  
540100.E-04  4431.26E-01  1646.11E-01  2793.91E-01  
600100.E-04  4333.45E-01  1538.92E-01  2803.83E-01  
660100.E-04  4409.13E-01  1492.14E-01  2926.04E-01  
720100.E-04  4426.47E-01  1440.92E-01  2994.88E-01  
780100.E-04  4260.13E-01  1416.92E-01  2852.69E-01  
840100.E-04  4071.03E-01  1319.27E-01  2761.13E-01  
900100.E-04  3374.68E-01  1209.00E-01  2174.98E-01  
960100.E-04  3505.11E-01  1253.82E-01  2260.37E-01  
102010.E-03  3245.07E-01  1170.05E-01  2083.95E-01  
108010.E-03  3180.74E-01  1122.37E-01  2067.45E-01  
114010.E-03  2871.35E-01  1056.29E-01  1823.51E-01  
120010.E-03  2593.49E-01  9046.93E-02  1696.93E-01  
126010.E-03  2644.58E-01  9304.55E-02  1722.25E-01  
132010.E-03  2405.41E-01  8405.03E-02  1572.90E-01  
138010.E-03  2222.77E-01  7298.05E-02  1500.46E-01  
144010.E-03  1993.67E-01  7094.29E-02  1291.73E-01  
150010.E-03  1838.89E-01  6117.31E-02  1234.09E-01  
156010.E-03  1606.75E-01  5888.86E-02  1024.50E-01  
162010.E-03  1469.17E-01  5172.52E-02  9579.58E-02  
168010.E-03  1500.26E-01  3990.93E-02  1106.84E-01  
174010.E-03  1211.10E-01  4133.83E-02  8031.37E-02  
180010.E-03  1115.91E-01  3638.94E-02  7571.08E-02  
186010.E-03  8276.08E-02  3200.18E-02  5118.67E-02  
192010.E-03  8527.83E-02  2905.08E-02  5663.77E-02  
198010.E-03  6226.59E-02  2385.25E-02  3877.14E-02  
204010.E-03  5782.69E-02  2102.64E-02  3712.19E-02  
210010.E-03  4875.27E-02  1908.76E-02  2996.21E-02  
216010.E-03  4466.86E-02  1592.38E-02  2902.73E-02  
222010.E-03  3716.97E-02  1381.54E-02  2359.88E-02  
228010.E-03  3400.02E-02  1167.33E-02  2255.05E-02  
234010.E-03  3160.12E-02  1178.82E-02  1999.19E-02  
240010.E-03  2151.55E-02  7557.89E-03  1410.22E-02  
246010.E-03  1699.79E-02  7237.48E-03  9899.33E-03  
252010.E-03  1795.62E-02  5480.91E-03  1258.82E-02  
258010.E-03  1460.76E-02  5593.24E-03  9105.52E-03  
264010.E-03  9480.31E-03  4335.68E-03  5220.96E-03  
270010.E-03  1130.17E-02  3732.79E-03  7644.21E-03  
276010.E-03  7867.64E-03  2700.77E-03  5229.41E-03  
282010.E-03  6419.22E-03  2081.82E-03  4383.81E-03  
288010.E-03  6198.66E-03  1413.64E-03  4825.38E-03  
294010.E-03  3634.10E-03  7967.59E-04  2864.24E-03  
300010.E-03  2944.09E-03  1062.42E-03  1906.89E-03  
306010.E-03  1098.24E-03  5373.38E-04  5830.97E-04  
312010.E-03  9979.99E-04  5092.08E-04  5062.76E-04  
318010.E-03  2128.13E-03  5508.82E-04  1591.03E-03  
324010.E-03  1176.01E-03  2622.44E-04  9252.03E-04  
330010.E-03  5867.62E-04  2690.88E-04  3274.25E-04  
336010.E-03  6358.52E-04  2066.63E-04  4365.86E-04  
342010.E-03  1343.30E-04  8971.02E-05  4798.28E-05  
348010.E-03  1623.58E-05  1724.46E-05  0000.00E+00  
354010.E-03  1973.45E-04  5505.81E-05  1463.22E-04  
360010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  
