====== Th (4200) into UO2                       =======
        SRIM-2008.04
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  600 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 60000.E-02 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Total Ions calculated =001453.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
601000.E-05  4212.58E-02  5390.80E-02
120100.E-04  4263.89E-02  7591.26E-02
180100.E-04  4139.70E-02  8185.16E-02
240100.E-04  4017.40E-02  8886.85E-02
300100.E-04  4065.82E-02  9989.22E-02
360100.E-04  3865.07E-02  1070.74E-01
420100.E-04  3723.88E-02  1152.55E-01
480100.E-04  3670.06E-02  1238.02E-01
540100.E-04  3499.80E-02  1279.20E-01
600100.E-04  3415.05E-02  1346.00E-01
660100.E-04  3189.43E-02  1403.80E-01
720100.E-04  3249.24E-02  1412.59E-01
780100.E-04  3057.15E-02  1436.53E-01
840100.E-04  2853.48E-02  1390.78E-01
900100.E-04  2777.45E-02  1353.98E-01
960100.E-04  2590.28E-02  1323.03E-01
102010.E-03  2407.92E-02  1318.93E-01
108010.E-03  2264.88E-02  1263.68E-01
114010.E-03  2138.32E-02  1239.07E-01
120010.E-03  1988.57E-02  1192.77E-01
126010.E-03  1868.10E-02  1145.78E-01
132010.E-03  1635.96E-02  1102.94E-01
138010.E-03  1524.56E-02  1026.36E-01
144010.E-03  1449.19E-02  9788.43E-02
150010.E-03  1256.28E-02  9208.29E-02
156010.E-03  1132.48E-02  8594.83E-02
162010.E-03  1019.26E-02  8037.68E-02
168010.E-03  9265.22E-03  7442.49E-02
174010.E-03  8171.05E-03  6967.80E-02
180010.E-03  7048.96E-03  6354.72E-02
186010.E-03  6237.25E-03  5570.84E-02
192010.E-03  5708.28E-03  5051.20E-02
198010.E-03  4860.58E-03  4553.82E-02
204010.E-03  3947.21E-03  4104.77E-02
210010.E-03  3786.51E-03  3657.08E-02
216010.E-03  3335.96E-03  3204.61E-02
222010.E-03  2747.68E-03  2823.50E-02
228010.E-03  2275.58E-03  2467.24E-02
234010.E-03  1900.51E-03  2146.93E-02
240010.E-03  1632.17E-03  1903.55E-02
246010.E-03  1397.68E-03  1710.43E-02
252010.E-03  1202.97E-03  1504.23E-02
258010.E-03  9459.43E-04  1311.89E-02
264010.E-03  7266.81E-04  1127.35E-02
270010.E-03  6509.36E-04  9680.67E-03
276010.E-03  4812.47E-04  8394.16E-03
282010.E-03  3849.85E-04  7482.06E-03
288010.E-03  3138.90E-04  6500.36E-03
294010.E-03  2467.77E-04  5644.52E-03
300010.E-03  2056.30E-04  4863.61E-03
306010.E-03  1246.29E-04  4191.71E-03
312010.E-03  1055.87E-04  3684.48E-03
318010.E-03  8205.98E-05  3038.65E-03
324010.E-03  8299.13E-05  2540.24E-03
330010.E-03  3007.63E-05  2310.08E-03
336010.E-03  2198.24E-05  2117.59E-03
342010.E-03  1164.90E-05  1959.85E-03
348010.E-03  6543.72E-06  1688.83E-03
354010.E-03  1690.16E-05  1513.31E-03
360010.E-03  0000.00E+00  1519.11E-03
366010.E-03  0000.00E+00  1310.65E-03
372010.E-03  0000.00E+00  1028.09E-03
378010.E-03  0000.00E+00  9762.28E-04
384010.E-03  0000.00E+00  9459.49E-04
390010.E-03  0000.00E+00  6808.15E-04
396010.E-03  0000.00E+00  6616.38E-04
402010.E-03  0000.00E+00  5632.62E-04
408010.E-03  0000.00E+00  5539.50E-04
414010.E-03  0000.00E+00  3933.21E-04
420010.E-03  0000.00E+00  3375.03E-04
426010.E-03  0000.00E+00  2962.76E-04
432010.E-03  0000.00E+00  2322.29E-04
438010.E-03  0000.00E+00  2184.83E-04
444010.E-03  0000.00E+00  2288.92E-04
450010.E-03  0000.00E+00  1889.49E-04
456010.E-03  0000.00E+00  1916.94E-04
462010.E-03  0000.00E+00  2316.21E-04
468010.E-03  0000.00E+00  1757.80E-04
474010.E-03  0000.00E+00  1741.40E-04
480010.E-03  0000.00E+00  1030.11E-04
486010.E-03  0000.00E+00  1136.32E-04
492010.E-03  0000.00E+00  7664.20E-05
498010.E-03  0000.00E+00  6904.58E-05
504010.E-03  0000.00E+00  5722.48E-05
510010.E-03  0000.00E+00  3959.22E-05
516010.E-03  0000.00E+00  4615.59E-05
522010.E-03  0000.00E+00  4581.11E-05
528010.E-03  0000.00E+00  4416.42E-05
534010.E-03  0000.00E+00  2492.45E-05
540010.E-03  0000.00E+00  4498.77E-05
546010.E-03  0000.00E+00  2380.12E-05
552010.E-03  0000.00E+00  2992.95E-05
558010.E-03  0000.00E+00  3681.60E-05
564010.E-03  0000.00E+00  2259.74E-05
570010.E-03  0000.00E+00  1824.35E-05
576010.E-03  0000.00E+00  2009.99E-05
582010.E-03  0000.00E+00  2868.52E-05
588010.E-03  0000.00E+00  1013.69E-05
594010.E-03  0000.00E+00  1501.68E-05
600010.E-03  0000.00E+00  1230.28E-05
