====== Th (70) into UO2                         =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 50000.E-02 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     
   (Ang.)       IONS       by   U       by   O       
----------   ------------  -----------  -----------  
501000.E-05  5086.99E-01  3473.64E-01  1619.10E-01  
100100.E-04  4932.28E-01  3320.66E-01  1618.22E-01  
150100.E-04  5043.08E-01  3383.20E-01  1666.94E-01  
200100.E-04  5069.56E-01  3383.54E-01  1693.33E-01  
250100.E-04  4833.88E-01  3143.53E-01  1698.02E-01  
300100.E-04  4930.45E-01  3221.21E-01  1717.19E-01  
350100.E-04  4881.10E-01  3253.78E-01  1635.60E-01  
400100.E-04  4994.79E-01  3380.40E-01  1622.95E-01  
450100.E-04  4780.78E-01  3235.62E-01  1553.87E-01  
500100.E-04  4902.50E-01  3337.50E-01  1573.98E-01  
550100.E-04  4510.43E-01  2958.10E-01  1561.53E-01  
600100.E-04  4448.44E-01  2900.78E-01  1556.98E-01  
650100.E-04  4313.62E-01  2884.18E-01  1438.83E-01  
700100.E-04  4250.15E-01  2794.37E-01  1465.12E-01  
750100.E-04  4113.86E-01  2781.64E-01  1341.65E-01  
800100.E-04  3885.91E-01  2502.71E-01  1392.61E-01  
850100.E-04  3854.45E-01  2532.18E-01  1331.82E-01  
900100.E-04  3642.97E-01  2462.64E-01  1189.64E-01  
950100.E-04  3568.07E-01  2412.32E-01  1164.93E-01  
100010.E-03  3367.27E-01  2238.18E-01  1138.25E-01  
105010.E-03  3183.00E-01  2106.99E-01  1084.93E-01  
110010.E-03  2900.67E-01  1873.85E-01  1035.52E-01  
115010.E-03  2798.76E-01  1845.23E-01  9620.80E-02  
120010.E-03  2683.79E-01  1779.02E-01  9130.98E-02  
125010.E-03  2498.53E-01  1645.03E-01  8615.82E-02  
130010.E-03  2490.12E-01  1710.27E-01  7876.19E-02  
135010.E-03  2271.01E-01  1556.90E-01  7217.73E-02  
140010.E-03  2072.12E-01  1378.01E-01  7013.85E-02  
145010.E-03  1946.15E-01  1269.91E-01  6833.62E-02  
150010.E-03  1721.83E-01  1106.54E-01  6219.05E-02  
155010.E-03  1572.08E-01  1014.76E-01  5635.91E-02  
160010.E-03  1477.25E-01  9832.49E-02  4998.80E-02  
165010.E-03  1305.57E-01  8441.26E-02  4670.82E-02  
170010.E-03  1207.37E-01  7834.90E-02  4291.34E-02  
175010.E-03  1093.50E-01  7155.01E-02  3829.85E-02  
180010.E-03  1004.16E-01  6611.75E-02  3476.38E-02  
185010.E-03  8989.31E-02  5900.92E-02  3131.39E-02  
190010.E-03  8412.41E-02  5483.78E-02  2969.03E-02  
195010.E-03  7652.07E-02  5041.70E-02  2647.40E-02  
200010.E-03  6671.13E-02  4359.15E-02  2346.76E-02  
205010.E-03  5740.65E-02  3750.06E-02  2021.52E-02  
210010.E-03  5106.48E-02  3285.09E-02  1849.67E-02  
215010.E-03  4526.05E-02  2981.59E-02  1570.27E-02  
220010.E-03  3837.66E-02  2401.74E-02  1458.90E-02  
225010.E-03  3462.21E-02  2196.17E-02  1286.02E-02  
230010.E-03  2734.70E-02  1727.91E-02  1024.74E-02  
235010.E-03  2680.67E-02  1737.62E-02  9599.37E-03  
240010.E-03  2557.19E-02  1728.95E-02  8434.87E-03  
245010.E-03  1878.68E-02  1112.87E-02  7793.73E-03  
250010.E-03  1959.26E-02  1309.39E-02  6615.29E-03  
255010.E-03  1574.99E-02  9957.48E-03  5894.38E-03  
260010.E-03  1251.43E-02  7952.26E-03  4651.40E-03  
265010.E-03  1166.64E-02  7387.19E-03  4357.33E-03  
270010.E-03  9374.49E-03  5768.54E-03  3675.78E-03  
275010.E-03  9082.91E-03  6122.09E-03  3018.36E-03  
280010.E-03  6096.32E-03  3814.15E-03  2331.13E-03  
285010.E-03  5814.42E-03  3952.72E-03  1904.96E-03  
290010.E-03  5137.27E-03  3417.94E-03  1758.75E-03  
295010.E-03  4642.34E-03  3503.82E-03  1172.30E-03  
300010.E-03  3009.12E-03  2064.52E-03  9724.38E-04  
