====== Th (70) into UO2                         =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer 1 : UO2
Layer Width = 50000.E-02 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
501000.E-05  4149.48E-02  5532.36E-02
100100.E-04  4152.38E-02  7748.77E-02
150100.E-04  4146.38E-02  8346.50E-02
200100.E-04  4066.33E-02  8753.86E-02
250100.E-04  4000.21E-02  9225.30E-02
300100.E-04  3949.01E-02  1002.24E-01
350100.E-04  3901.03E-02  1078.81E-01
400100.E-04  3822.07E-02  1141.37E-01
450100.E-04  3741.99E-02  1222.26E-01
500100.E-04  3633.97E-02  1279.77E-01
550100.E-04  3500.87E-02  1321.70E-01
600100.E-04  3400.90E-02  1355.00E-01
650100.E-04  3354.26E-02  1379.05E-01
700100.E-04  3236.58E-02  1406.10E-01
750100.E-04  3089.15E-02  1414.99E-01
800100.E-04  2960.20E-02  1413.05E-01
850100.E-04  2863.06E-02  1411.35E-01
900100.E-04  2687.36E-02  1385.76E-01
950100.E-04  2567.22E-02  1370.91E-01
100010.E-03  2436.13E-02  1349.02E-01
105010.E-03  2302.34E-02  1309.58E-01
110010.E-03  2144.03E-02  1265.84E-01
115010.E-03  2044.89E-02  1225.28E-01
120010.E-03  1906.33E-02  1179.43E-01
125010.E-03  1820.45E-02  1126.31E-01
130010.E-03  1672.54E-02  1088.13E-01
135010.E-03  1560.44E-02  1059.32E-01
140010.E-03  1426.76E-02  1001.04E-01
145010.E-03  1371.04E-02  9482.32E-02
150010.E-03  1235.70E-02  8951.31E-02
155010.E-03  1109.74E-02  8435.32E-02
160010.E-03  1033.35E-02  7883.94E-02
165010.E-03  9458.31E-03  7383.55E-02
170010.E-03  8851.56E-03  6903.07E-02
175010.E-03  7813.49E-03  6436.37E-02
180010.E-03  7139.53E-03  5960.64E-02
185010.E-03  6325.45E-03  5462.22E-02
190010.E-03  5589.82E-03  5019.95E-02
195010.E-03  5191.02E-03  4635.14E-02
200010.E-03  4720.86E-03  4200.72E-02
205010.E-03  4055.91E-03  3810.53E-02
210010.E-03  3628.75E-03  3478.76E-02
215010.E-03  3291.59E-03  3179.92E-02
220010.E-03  2745.88E-03  2889.02E-02
225010.E-03  2463.87E-03  2586.47E-02
230010.E-03  2120.45E-03  2299.04E-02
235010.E-03  1836.85E-03  2048.79E-02
240010.E-03  1644.81E-03  1832.81E-02
245010.E-03  1467.37E-03  1643.32E-02
250010.E-03  1228.19E-03  1476.06E-02
255010.E-03  1073.51E-03  1328.18E-02
260010.E-03  9224.40E-04  1205.24E-02
265010.E-03  7677.07E-04  1069.04E-02
270010.E-03  6891.37E-04  9401.42E-03
275010.E-03  5262.32E-04  8594.11E-03
280010.E-03  4711.86E-04  7425.87E-03
285010.E-03  3974.15E-04  6606.27E-03
290010.E-03  3227.62E-04  5800.90E-03
295010.E-03  2865.83E-04  5269.28E-03
300010.E-03  2264.95E-04  4747.37E-03
305010.E-03  1755.21E-04  4060.92E-03
310010.E-03  1241.53E-04  3588.95E-03
315010.E-03  1070.07E-04  3087.32E-03
320010.E-03  1000.51E-04  2748.81E-03
325010.E-03  9129.31E-05  2434.89E-03
330010.E-03  7495.51E-05  2102.49E-03
335010.E-03  6182.78E-05  1921.31E-03
340010.E-03  5676.33E-05  1684.75E-03
345010.E-03  5014.13E-05  1508.26E-03
350010.E-03  3611.75E-05  1431.79E-03
355010.E-03  3291.40E-05  1229.42E-03
360010.E-03  2568.59E-05  1062.58E-03
365010.E-03  2403.96E-05  9740.06E-04
370010.E-03  1440.42E-05  9125.97E-04
375010.E-03  1246.80E-05  8221.09E-04
380010.E-03  1122.69E-05  7156.79E-04
385010.E-03  6647.07E-06  6394.57E-04
390010.E-03  9260.19E-06  5752.25E-04
395010.E-03  5232.66E-06  5061.47E-04
400010.E-03  3025.97E-06  4632.52E-04
405010.E-03  2020.89E-06  4245.49E-04
410010.E-03  1017.80E-06  3859.32E-04
415010.E-03  6952.79E-07  3404.97E-04
420010.E-03  7139.38E-07  2950.07E-04
425010.E-03  3852.47E-07  2404.62E-04
430010.E-03  1094.76E-08  2094.86E-04
435010.E-03  2012.00E-07  1935.30E-04
440010.E-03  9333.35E-08  1742.74E-04
445010.E-03  0000.00E+00  1954.34E-04
450010.E-03  0000.00E+00  1550.54E-04
455010.E-03  0000.00E+00  1712.95E-04
460010.E-03  0000.00E+00  1546.89E-04
465010.E-03  0000.00E+00  1477.75E-04
470010.E-03  0000.00E+00  1409.94E-04
475010.E-03  0000.00E+00  1042.73E-04
480010.E-03  0000.00E+00  8890.65E-05
485010.E-03  0000.00E+00  7935.05E-05
490010.E-03  0000.00E+00  6075.53E-05
495010.E-03  0000.00E+00  6283.21E-05
500010.E-03  0000.00E+00  5593.62E-05
