====== Th (70) into UO2                         =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target. the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Th   Energy = 70 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 50000.E-02 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Ion Average Range = 142699.E-03 A   Straggling = 682787.E-04 A
 Ion Lateral Range = 464831.E-04 A   Straggling = 587864.E-04 A
 Ion Radial  Range = 736141.E-04 A   Straggling = 398433.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5010000.E-06 36656416.E-06 51397743.E-06 65897517.E-06 45651230.E-06 
1001000.E-05 36202360.E-06 47051271.E-06 61365414.E-06 34187150.E-06 
1501000.E-05 35905086.E-06 50028630.E-06 66053575.E-06 39381142.E-06 
2001000.E-05 40525522.E-06 49866792.E-06 62737228.E-06 30660121.E-06 
2501000.E-05 46335206.E-06 58664544.E-06 71670943.E-06 43589949.E-06 
3001000.E-05 38729934.E-06 48693633.E-06 58407927.E-06 33790410.E-06 
3501000.E-05 39573566.E-06 51818539.E-06 62795605.E-06 33338778.E-06 
4001000.E-05 45189239.E-06 55758223.E-06 67521949.E-06 34925285.E-06 
4501000.E-05 40778756.E-06 51342177.E-06 66396083.E-06 37230575.E-06 
5001000.E-05 38576615.E-06 51033176.E-06 65024442.E-06 37121131.E-06 
5501000.E-05 43282905.E-06 55962433.E-06 65987214.E-06 37421197.E-06 
6001000.E-05 40863261.E-06 50693552.E-06 63879427.E-06 33189039.E-06 
6501000.E-05 41938896.E-06 51889340.E-06 62319630.E-06 32353101.E-06 
7001000.E-05 41078560.E-06 51851783.E-06 68549448.E-06 36526735.E-06 
7501000.E-05 42867901.E-06 54613806.E-06 67275852.E-06 35449277.E-06 
8001000.E-05 41256266.E-06 53790399.E-06 68124856.E-06 39504232.E-06 
8501000.E-05 44830594.E-06 57139345.E-06 70741470.E-06 40067894.E-06 
9001000.E-05 47015092.E-06 59691823.E-06 72860722.E-06 39341294.E-06 
9501000.E-05 45034533.E-06 57015063.E-06 73143017.E-06 39926154.E-06 
1000100.E-04 45351569.E-06 57332925.E-06 70908860.E-06 38841327.E-06 
1050100.E-04 43671557.E-06 54504500.E-06 69886903.E-06 35488542.E-06 
1100100.E-04 47533271.E-06 57739487.E-06 76112552.E-06 37193042.E-06 
