====== Th (70) into UO2                         =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     5.E+02 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
501000.E-05  162072.E-05  332468.E-04
100100.E-04  166656.E-05  736807.E-04
150100.E-04  174985.E-05  104076.E-03
200100.E-04  179217.E-05  130767.E-03
250100.E-04  182773.E-05  153952.E-03
300100.E-04  187165.E-05  167991.E-03
350100.E-04  189412.E-05  181182.E-03
400100.E-04  195790.E-05  192952.E-03
450100.E-04  194445.E-05  206846.E-03
500100.E-04  198651.E-05  217361.E-03
550100.E-04  199251.E-05  224800.E-03
600100.E-04  199860.E-05  230910.E-03
650100.E-04  198096.E-05  235833.E-03
700100.E-04  194633.E-05  240929.E-03
750100.E-04  194647.E-05  243523.E-03
800100.E-04  194482.E-05  244354.E-03
850100.E-04  192277.E-05  244991.E-03
900100.E-04  193996.E-05  242388.E-03
950100.E-04  181467.E-05  239828.E-03
100010.E-03  180285.E-05  236499.E-03
105010.E-03  169348.E-05  230861.E-03
110010.E-03  165494.E-05  224935.E-03
115010.E-03  165026.E-05  218443.E-03
120010.E-03  158655.E-05  210708.E-03
125010.E-03  155280.E-05  202253.E-03
130010.E-03  143479.E-05  195796.E-03
135010.E-03  139302.E-05  189288.E-03
140010.E-03  130528.E-05  181644.E-03
145010.E-03  125094.E-05  172943.E-03
150010.E-03  116661.E-05  164297.E-03
155010.E-03  110788.E-05  154721.E-03
160010.E-03  101034.E-05  145088.E-03
165010.E-03  983330.E-06  136356.E-03
170010.E-03  919211.E-06  127470.E-03
175010.E-03  853149.E-06  119036.E-03
180010.E-03  806972.E-06  110847.E-03
185010.E-03  745445.E-06  102149.E-03
190010.E-03  655165.E-06  943708.E-04
195010.E-03  603367.E-06  869484.E-04
200010.E-03  562612.E-06  788616.E-04
205010.E-03  541845.E-06  720283.E-04
210010.E-03  464414.E-06  656569.E-04
215010.E-03  403235.E-06  590156.E-04
220010.E-03  385070.E-06  537646.E-04
225010.E-03  343033.E-06  484087.E-04
230010.E-03  299673.E-06  431375.E-04
235010.E-03  277819.E-06  385828.E-04
240010.E-03  237896.E-06  342372.E-04
245010.E-03  207783.E-06  302420.E-04
250010.E-03  173957.E-06  272196.E-04
255010.E-03  166356.E-06  242516.E-04
260010.E-03  155010.E-06  221125.E-04
265010.E-03  125130.E-06  196240.E-04
270010.E-03  982085.E-07  173135.E-04
275010.E-03  957623.E-07  154123.E-04
280010.E-03  709428.E-07  135376.E-04
285010.E-03  622974.E-07  119612.E-04
290010.E-03  529565.E-07  102095.E-04
295010.E-03  543954.E-07  910179.E-05
300010.E-03  480017.E-07  802826.E-05
305010.E-03  413027.E-07  702240.E-05
310010.E-03  317609.E-07  606653.E-05
315010.E-03  210274.E-07  518618.E-05
320010.E-03  163427.E-07  458529.E-05
325010.E-03  217877.E-07  403986.E-05
330010.E-03  175961.E-07  344496.E-05
335010.E-03  158020.E-07  308433.E-05
340010.E-03  110744.E-07  277591.E-05
345010.E-03  797952.E-08  249086.E-05
350010.E-03  819120.E-08  226007.E-05
355010.E-03  483186.E-08  191176.E-05
360010.E-03  513138.E-08  165807.E-05
365010.E-03  638335.E-08  151323.E-05
370010.E-03  445992.E-08  143387.E-05
375010.E-03  349601.E-08  125268.E-05
380010.E-03  140326.E-08  113711.E-05
385010.E-03  176699.E-08  100503.E-05
390010.E-03  167120.E-08  868604.E-06
395010.E-03  107790.E-09  783173.E-06
400010.E-03  870924.E-09  683655.E-06
405010.E-03  250738.E-08  636441.E-06
410010.E-03  218351.E-08  551836.E-06
415010.E-03  174965.E-09  480624.E-06
420010.E-03  000000.E+00  433797.E-06
425010.E-03  392408.E-09  351690.E-06
430010.E-03  335251.E-09  294091.E-06
435010.E-03  990341.E-09  274354.E-06
440010.E-03  356500.E-09  231685.E-06
445010.E-03  000000.E+00  225298.E-06
450010.E-03  000000.E+00  219286.E-06
455010.E-03  000000.E+00  239273.E-06
460010.E-03  000000.E+00  223143.E-06
465010.E-03  000000.E+00  197572.E-06
470010.E-03  000000.E+00  182118.E-06
475010.E-03  000000.E+00  157794.E-06
480010.E-03  000000.E+00  135812.E-06
485010.E-03  000000.E+00  120419.E-06
490010.E-03  000000.E+00  902740.E-07
495010.E-03  000000.E+00  842706.E-07
500010.E-03  000000.E+00  572775.E-07
