====== Th (70) into UO2                         =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Th   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width =     5.E+02 A ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 1038 /Ion
 Total Target Displacements = 1089 /Ion
 Total Target Replacement Collisions = 51 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Th            U            O       
   (Ang.)     Knock-Ons    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  
501000.E-05  1917.03E-04  6120.47E-04  2167.20E-03  
100100.E-04  2199.36E-04  6830.96E-04  1983.50E-03  
150100.E-04  2355.52E-04  8301.00E-04  2409.54E-03  
200100.E-04  2435.30E-04  9554.82E-04  2763.91E-03  
250100.E-04  2554.27E-04  1066.25E-03  3080.19E-03  
300100.E-04  2647.65E-04  1162.22E-03  3371.45E-03  
350100.E-04  2758.42E-04  1254.65E-03  3633.39E-03  
400100.E-04  2852.40E-04  1338.98E-03  3839.30E-03  
450100.E-04  2903.79E-04  1434.73E-03  4123.46E-03  
500100.E-04  2992.56E-04  1505.18E-03  4327.92E-03  
550100.E-04  3065.95E-04  1549.38E-03  4470.08E-03  
600100.E-04  3108.34E-04  1565.60E-03  4600.47E-03  
650100.E-04  3131.33E-04  1605.02E-03  4695.16E-03  
700100.E-04  3113.73E-04  1655.84E-03  4766.64E-03  
750100.E-04  3143.53E-04  1657.35E-03  4803.08E-03  
800100.E-04  3138.13E-04  1660.36E-03  4817.44E-03  
850100.E-04  3185.92E-04  1674.29E-03  4838.86E-03  
900100.E-04  3103.34E-04  1640.76E-03  4764.21E-03  
950100.E-04  3061.55E-04  1618.79E-03  4706.14E-03  
100010.E-03  3054.55E-04  1594.65E-03  4658.86E-03  
105010.E-03  2973.17E-04  1554.89E-03  4529.69E-03  
110010.E-03  2898.39E-04  1502.94E-03  4402.09E-03  
115010.E-03  2847.60E-04  1463.50E-03  4249.91E-03  
120010.E-03  2776.22E-04  1403.46E-03  4104.92E-03  
125010.E-03  2693.24E-04  1338.82E-03  3917.79E-03  
130010.E-03  2591.06E-04  1281.26E-03  3799.18E-03  
135010.E-03  2554.47E-04  1271.61E-03  3713.73E-03  
140010.E-03  2422.50E-04  1211.41E-03  3517.60E-03  
145010.E-03  2373.92E-04  1139.44E-03  3350.83E-03  
150010.E-03  2204.76E-04  1074.42E-03  3180.90E-03  
155010.E-03  2089.18E-04  1021.15E-03  2995.25E-03  
160010.E-03  1959.62E-04  9466.93E-04  2811.47E-03  
165010.E-03  1878.24E-04  8890.37E-04  2627.37E-03  
170010.E-03  1751.07E-04  8305.20E-04  2471.68E-03  
175010.E-03  1662.49E-04  7691.60E-04  2304.12E-03  
180010.E-03  1550.92E-04  7184.91E-04  2133.99E-03  
185010.E-03  1433.34E-04  6572.91E-04  1949.67E-03  
190010.E-03  1346.57E-04  6057.21E-04  1787.94E-03  
195010.E-03  1233.99E-04  5525.29E-04  1657.95E-03  
200010.E-03  1159.41E-04  5016.39E-04  1502.76E-03  
205010.E-03  1031.24E-04  4555.74E-04  1377.69E-03  
210010.E-03  9426.39E-05  4090.90E-04  1233.25E-03  
215010.E-03  8600.34E-05  3653.20E-04  1127.85E-03  
220010.E-03  7662.28E-05  3317.68E-04  1022.97E-03  
225010.E-03  6658.22E-05  2980.37E-04  9156.23E-04  
230010.E-03  5986.18E-05  2621.45E-04  8018.92E-04  
235010.E-03  5628.16E-05  2305.33E-04  7277.00E-04  
240010.E-03  5082.13E-05  2018.40E-04  6406.75E-04  
245010.E-03  4520.09E-05  1825.25E-04  5712.67E-04  
250010.E-03  3886.05E-05  1614.10E-04  5104.68E-04  
255010.E-03  3398.02E-05  1457.74E-04  4518.11E-04  
260010.E-03  2978.00E-05  1328.17E-04  4207.40E-04  
265010.E-03  2603.98E-05  1159.81E-04  3710.59E-04  
270010.E-03  2327.98E-05  9982.43E-05  3207.11E-04  
275010.E-03  1917.98E-05  9042.37E-05  2944.38E-04  
280010.E-03  1631.99E-05  7800.29E-05  2514.48E-04  
285010.E-03  1441.99E-05  6574.22E-05  2201.16E-04  
290010.E-03  1313.99E-05  5436.15E-05  1859.84E-04  
295010.E-03  1125.99E-05  5104.13E-05  1700.28E-04  
300010.E-03  9279.97E-06  4740.11E-05  1522.12E-04  
305010.E-03  7340.00E-06  3982.06E-05  1281.98E-04  
310010.E-03  5040.01E-06  3292.02E-05  1104.22E-04  
315010.E-03  4200.01E-06  2751.98E-05  9458.39E-05  
320010.E-03  4080.01E-06  2401.98E-05  8142.31E-05  
325010.E-03  3820.01E-06  2057.98E-05  7220.26E-05  
330010.E-03  3460.01E-06  1759.99E-05  6190.19E-05  
335010.E-03  2580.00E-06  1535.99E-05  5624.16E-05  
340010.E-03  2180.00E-06  1337.99E-05  5078.13E-05  
345010.E-03  2160.00E-06  1341.99E-05  4576.10E-05  
350010.E-03  1400.00E-06  1078.00E-05  4320.08E-05  
355010.E-03  1260.00E-06  8999.98E-06  3396.02E-05  
360010.E-03  1300.00E-06  8279.99E-06  3068.00E-05  
365010.E-03  1060.00E-06  7540.00E-06  2883.99E-05  
370010.E-03  6000.00E-07  6860.01E-06  2687.98E-05  
375010.E-03  4400.00E-07  6080.02E-06  2337.98E-05  
380010.E-03  4600.00E-07  5160.01E-06  2201.98E-05  
385010.E-03  4400.00E-07  4060.01E-06  1789.98E-05  
390010.E-03  6400.00E-07  3520.01E-06  1651.99E-05  
395010.E-03  2800.00E-07  3700.01E-06  1475.99E-05  
400010.E-03  3800.00E-07  3680.01E-06  1251.99E-05  
405010.E-03  1200.00E-07  2880.00E-06  1173.99E-05  
410010.E-03  4000.00E-08  2180.00E-06  1020.00E-05  
415010.E-03  4000.00E-08  2320.00E-06  8479.99E-06  
420010.E-03  6000.00E-08  2360.00E-06  7100.01E-06  
425010.E-03  6000.00E-08  1620.00E-06  6300.02E-06  
430010.E-03  6000.00E-08  1280.00E-06  5780.02E-06  
435010.E-03  0000.00E+00  1140.00E-06  4740.01E-06  
440010.E-03  0000.00E+00  9600.00E-07  4400.01E-06  
445010.E-03  0000.00E+00  9000.00E-07  4680.01E-06  
450010.E-03  0000.00E+00  9800.00E-07  4520.01E-06  
455010.E-03  0000.00E+00  1420.00E-06  4480.01E-06  
460010.E-03  0000.00E+00  1080.00E-06  3920.01E-06  
465010.E-03  0000.00E+00  8400.00E-07  3380.01E-06  
470010.E-03  0000.00E+00  8000.00E-07  3560.01E-06  
475010.E-03  0000.00E+00  6800.00E-07  2800.00E-06  
480010.E-03  0000.00E+00  6400.00E-07  2580.00E-06  
485010.E-03  0000.00E+00  7600.00E-07  2020.00E-06  
490010.E-03  0000.00E+00  6000.00E-07  1800.00E-06  
495010.E-03  0000.00E+00  4000.00E-07  1600.00E-06  
500010.E-03  0000.00E+00  2800.00E-07  9400.00E-07  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
